partition,log_id,phase_method,hall_event_count,candidate_cycle_count,valid_cycle_count,invalid_cycle_count,maximum_cycle_count_relative_error_observed,p95_cycle_count_relative_error,phase_valid_row_count,clipped_phase_row_count,source_log_path,source_log_sha256,logged_ratio,true_ratio,frequency_scale,row_count,frequency_finite_row_count,frequency_min_hz,frequency_max_hz,recovered_hall_zero_count,median_reset_publication_delay_ms,p95_reset_publication_delay_ms
test,log_18_2026-4-15-12-56-08,hall_event_encoder_count_interpolation,605,604,604,0,0.0020701863865761894,0.0007115956480923559,14202,0,/home/zn/QgcLogs/2026.4.15/log_18_2026-4-15-12-56-08.ulg,5a98d1df703b8a4f706fbb2c41fa44ec73aa609ad2c9b9c31c55696b932b882d,7.5,8.0,0.9375,14202,14202,2.7786733210086823,4.728619605302811,,,
test,log_34_2026-4-16-19-13-30,hall_event_encoder_count_interpolation,602,601,601,0,0.001859616159127775,0.0008793036895049511,14074,1,/home/zn/QgcLogs/2026.4.16/2/log_34_2026-4-16-19-13-30.ulg,b695e3c919da5da26396a195e244a7881cc7e914022d777df3edd00a7cf3c239,7.5,8.0,0.9375,14074,14074,2.7580004185438156,4.886004477739334,,,
test,log_4_2026-4-12-17-43-30,logged_hall_zero_count_encoder_inversion_fallback,0,766,766,0,0.003753662109375,0.00066375732421875,18184,0,/home/zn/QgcLogs/2026.4.12/log_4_2026-4-12-17-43-30.ulg,93872e280a9f76d485b6a29ba35a4116cb3e30697d883faf36ebffbecec1ec46,7.5,8.0,0.9375,18184,18184,0.9029523655772209,4.945921450853348,767.0,5.033110084056855,9.523820235127209
test,log_4_2026-4-14-12-30-12,hall_event_encoder_count_interpolation,599,598,598,0,0.0013491612780391904,0.0007025360628597709,14211,0,/home/zn/QgcLogs/2026.4.14/3Algorithms-weakwing/log_4_2026-4-14-12-30-12.ulg,e0074b7c48bf8c3344a5db2d6b702e70eb21b86f3d84bc147c0641238466d90a,7.5,8.0,0.9375,14211,14211,2.6910486817359924,4.98641163110733,,,
train,log_0_2026-4-14-10-21-28,hall_event_encoder_count_interpolation,755,754,754,0,0.0016735906119986765,0.0008323163397136569,19473,2,/home/zn/QgcLogs/2026.4.14/3Algorithms/log_0_2026-4-14-10-21-28.ulg,876f061ab7fc82f82931727b2a5679efb3a6781c5a25e669a0c37577b2288a1f,7.5,8.0,0.9375,19473,19473,1.7383863776922226,4.736237525939941,,,
train,log_0_2026-4-14-11-50-14,hall_event_encoder_count_interpolation,799,798,798,0,0.003826282671525405,0.0007078270407166797,19641,3,/home/zn/QgcLogs/2026.4.14/3Algorithms-weakwing/log_0_2026-4-14-11-50-14.ulg,ead39ac6764dd5db6aea98900ee822fd839cfda20fc668f8f510f12b0978dedc,7.5,8.0,0.9375,19641,19641,1.8943528085947037,4.786839187145233,,,
train,log_10_2026-4-15-11-37-24,hall_event_encoder_count_interpolation,612,611,611,0,0.0015651187369738473,0.0006086241730258735,13905,0,/home/zn/QgcLogs/2026.4.15/log_10_2026-4-15-11-37-24.ulg,1c1d9a710c671d3fa99446284f7890ba3a8a3f5b8b6b57a622377fc65b9d1dc7,7.5,8.0,0.9375,13905,13905,2.8813455998897552,4.795353412628174,,,
train,log_12_2026-4-15-11-57-08,hall_event_encoder_count_interpolation,722,721,721,0,0.005520685117176072,0.0006691303295838225,16152,0,/home/zn/QgcLogs/2026.4.15/log_12_2026-4-15-11-57-08.ulg,f22ff9eb79cabd81ec207ab92b095ea7c82a66ddba13872bd78b52858461a3d6,7.5,8.0,0.9375,16152,16152,3.1207414716482162,4.900319427251816,,,
train,log_17_2026-4-15-12-47-22,hall_event_encoder_count_interpolation,701,700,700,0,0.001496053529372432,0.0006724617806142418,15129,0,/home/zn/QgcLogs/2026.4.15/log_17_2026-4-15-12-47-22.ulg,a4949db69cf81ca5f0d92328da70f23134475faeb110970ea2b914f350a6aa31,7.5,8.0,0.9375,15129,15129,3.2734210789203644,4.800472408533096,,,
train,log_1_2026-4-12-16-33-22,logged_hall_zero_count_encoder_inversion_fallback,0,598,598,0,0.002410888671875,0.000701904296875,14208,0,/home/zn/QgcLogs/2026.4.12/log_1_2026-4-12-16-33-22.ulg,5057e3723cf5a4873f4d4a466090c4c44a85ec8cbfe21c44079f7b6ec400d83f,7.5,8.0,0.9375,14208,14208,2.1116137504577637,5.4436951875686646,599.0,5.116067640274763,9.454595448446275
