model,window_id,log_id,cohort,horizon_s,position_horizontal_m,position_vertical_m,position_m,velocity_m_s,attitude_deg,body_rate_rad_s,frequency_hz,phase_rad,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,body_rate_p_rad_s,body_rate_q_rad_s,body_rate_r_rad_s
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:25,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.23389140086151558,0.12290513515472412,0.2642174476531843,2.0891529577915318,9.754603640992284,1.7343687644335255,0.041756391525268555,0.1918007024552395,1.7663772106170654,0.6839070320129395,0.881330132484436,0.13539950735867023,1.6080543994903564,0.6355021893978119
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:75,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.27807679575453725,0.0971655547618866,0.29456382902402634,0.48165812098407096,3.015763275833622,1.275656061008535,0.01078343391418457,0.18919593413463076,0.22218942642211914,0.38721799850463867,0.1807999610900879,1.274932324886322,0.013930201530456543,0.0406436026096344
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:125,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.11982076438895267,0.11942598223686218,0.1691732272317113,0.3075509956231073,3.343045351423184,0.7867611085775219,0.03980875015258789,0.08932192870661027,0.07693195343017578,0.27591562271118164,0.1119806170463562,0.7524377405643463,0.1941123604774475,0.12308891117572784
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:175,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.06790753363515578,0.10186874866485596,0.12242824461272572,0.26055377990269174,0.6658156722582624,0.18096109040181876,0.0595545768737793,0.255765057749997,0.1846904754638672,0.10921573638916016,0.14781618118286133,0.10764217376708984,0.14268793165683746,0.02828838676214218
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:225,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.012912245364440267,0.029880523681640625,0.03255106412762255,0.18475719388558803,3.1913024416719775,0.6948249192847012,0.01923227310180664,0.08542799377808309,0.04970049858093262,0.15948867797851562,0.07892048358917236,0.6567697376012802,0.07872629165649414,0.21269074082374573
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:275,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.046434191086139706,0.014566183090209961,0.04866526267926286,0.22023012938551653,2.1995749794280863,0.47058602227427804,0.04744577407836914,0.10839623978505132,0.0015974044799804688,0.037389278411865234,0.2170271873474121,0.2895803228020668,0.35980367520824075,0.09019842743873596
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:325,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.045993253621213176,0.04527997970581055,0.06454189291323778,0.2676661668158663,1.5856703573626598,0.17779046339104304,0.11459064483642578,0.110631362260861,0.14623546600341797,0.11667990684509277,0.19143187999725342,0.09976927936077118,0.12820380926132202,0.07224488258361816
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:375,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.027879314298374175,0.05533742904663086,0.06196359591920433,0.2491300850856261,3.948829419268058,0.3946998318106239,0.028050899505615234,0.22861780657745356,0.042713165283203125,0.04267621040344238,0.24170255661010742,0.28942543268203735,0.20168723911046982,0.17703992128372192
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:425,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.06169069187503642,0.07077360153198242,0.09388633626800286,0.18436283762270406,3.053102163189383,0.3264168547044741,0.0018973350524902344,0.15346954875045782,0.09050846099853516,0.14708173274993896,0.06453555822372437,0.08904677629470825,0.18434405326843262,0.2542359232902527
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:475,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.06578145914843722,0.029758930206298828,0.07219968348075273,0.1780043209724858,2.0664357341538038,0.3840023557751536,0.04439091682434082,0.006248660964210728,0.055899620056152344,0.12933802604675293,0.10877704620361328,0.34111595153808594,0.05697942525148392,0.1668863743543625
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:525,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,0.5,0.06642550742423411,0.07925605773925781,0.10341117311458926,0.04068846140897256,6.0223845363217166,0.32231035129065577,0.05684995651245117,0.08426656024042956,0.020965099334716797,0.014487266540527344,0.0317196249961853,0.2280365228652954,0.22685888409614563,0.020453691482543945
