steps,axis,absolute_error_bound
5,vx,0.13165206909179678
5,vy,0.14082489013671873
5,vz,0.2823225105181335
5,p,1.0895473938435307
5,q,0.5272847108542915
5,r,0.33534278273582446
10,vx,0.22077028751373284
10,vy,0.22026915550231935
10,vz,0.40533096492290444
10,p,1.153953465074299
10,q,0.532996182143688
10,r,0.36484082043170923
25,vx,0.4472606897354125
25,vy,0.5057872354984277
25,vz,0.6774513423442826
25,p,1.175197560340166
25,q,0.5753321915864941
25,r,0.4200536480173463
50,vx,0.9330564737319943
50,vy,1.0890318989753722
50,vz,0.9764904469251628
50,p,1.2377139933407268
50,q,0.6932249516248699
50,r,0.4707995533943176
