model,source_model,mode,offset,steps,requested,admitted,completed,completion_fraction,accepted_steps_mean,completed_only_flight_rmse,completed_flights,guard_fraction
ensemble,ensemble,open_hold,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.669018689239635,16,0.0
ensemble,ensemble,open_hold,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7061122870853678,16,0.0
ensemble,ensemble,open_hold,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7006815156764519,16,0.0
ensemble,ensemble,open_hold,-0.2,50,51,23,21,0.4117647058823529,21.294117647058822,0.701609652957613,16,0.0
ensemble,ensemble,open_hold,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6041584271853522,16,0.0
ensemble,ensemble,open_hold,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6570081156424912,16,0.0
ensemble,ensemble,open_hold,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6470003882562286,16,0.0
ensemble,ensemble,open_hold,0.0,50,51,23,21,0.4117647058823529,21.294117647058822,0.6482404511394491,16,0.0
ensemble,ensemble,open_hold,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5774692546841349,16,0.0
ensemble,ensemble,open_hold,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6454700697953539,16,0.0
ensemble,ensemble,open_hold,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6346013536533657,16,0.0
ensemble,ensemble,open_hold,0.2,50,51,23,21,0.4117647058823529,21.294117647058822,0.6366240558073708,16,0.0
ensemble,ensemble,px4,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6837138014719104,16,0.42352941176470593
ensemble,ensemble,px4,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.719118059288063,16,0.4215686274509804
ensemble,ensemble,px4,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7040573807358331,16,0.4203921568627451
ensemble,ensemble,px4,-0.2,50,51,23,21,0.4117647058823529,21.294117647058822,0.7015576298915622,16,0.41411764705882353
ensemble,ensemble,px4,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6142815419314793,16,0.4117647058823529
ensemble,ensemble,px4,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6673591232035895,16,0.41960784313725485
ensemble,ensemble,px4,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6501747808344154,16,0.41411764705882353
ensemble,ensemble,px4,0.0,50,51,23,21,0.4117647058823529,21.294117647058822,0.6483157069018749,16,0.404313725490196
ensemble,ensemble,px4,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5870668906269555,16,0.4274509803921568
ensemble,ensemble,px4,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6554058055410288,16,0.41960784313725485
ensemble,ensemble,px4,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6376037595480331,16,0.4117647058823529
ensemble,ensemble,px4,0.2,50,51,23,21,0.4117647058823529,21.294117647058822,0.6365883928984346,16,0.3984313725490196
ensemble,seed17,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.683705444569052,16,0.0
ensemble,seed17,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7191201986358482,16,0.0
ensemble,seed17,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.704098570030823,16,0.0
ensemble,seed17,replay,-0.2,50,51,23,21,0.4117647058823529,21.294117647058822,0.7016059303622926,16,0.0
ensemble,seed17,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6142656080320111,16,0.0
ensemble,seed17,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6673634040195365,16,0.0
ensemble,seed17,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6501873251485405,16,0.0
ensemble,seed17,replay,0.0,50,51,23,21,0.4117647058823529,21.294117647058822,0.6482835108960268,16,0.0
ensemble,seed17,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5871115272706995,16,0.0
ensemble,seed17,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6553560849010893,16,0.0
ensemble,seed17,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6375859914848984,16,0.0
ensemble,seed17,replay,0.2,50,51,23,21,0.4117647058823529,21.294117647058822,0.6365986722315664,16,0.0
