channel,kind,window_a,window_b,distance,interval,response_a,response_b,opposite_response_sign,zero_response
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:895,0.7664053094014128,late_500ms,0.2556190431413864,0.0575114635135918,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:895,0.7664053094014128,late_1s,0.0473439816772678,0.0728731630305554,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,0.8931991929020172,late_500ms,0.6126891998895915,0.2556190431413864,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,0.8931991929020172,late_1s,0.7607647446446922,0.0473439816772678,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1115,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,0.9145859162052512,late_500ms,0.3881819907330026,0.2556190431413864,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1115,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,0.9145859162052512,late_1s,0.018179850047633,0.0473439816772678,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,0.9121819493421404,late_500ms,0.3028268887434026,0.3414007896446753,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,0.9121819493421404,late_1s,0.922150361462776,0.2553913644149231,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:885,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,0.979429619697771,late_500ms,0.1213211143400874,0.3028268887434026,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:885,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,0.979429619697771,late_1s,0.27126442675896,0.922150361462776,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1985,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,1.0457676392369266,late_500ms,-0.7152719201360891,0.3414007896446753,True,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1985,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,1.0457676392369266,late_1s,-0.4098522677614263,0.2553913644149231,True,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:4:1295,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,1.136941252255939,late_500ms,0.6555353854892946,0.6126891998895915,False,False
common,same_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:4:1295,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,1.136941252255939,late_1s,0.3102756530051185,0.7607647446446922,False,False
common,same_flight,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1875,2.054394163159938,late_500ms,-0.1487084295621646,-0.102253563056431,False,False
common,same_flight,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1875,2.054394163159938,late_1s,0.1155477335618281,0.2855660758257934,False,False
common,same_flight,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1775,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1875,0.7884866041162328,late_500ms,-0.1229357651896614,-0.102253563056431,False,False
common,same_flight,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1775,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1875,0.7884866041162328,late_1s,-0.5937419159804548,0.2855660758257934,True,False
common,same_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:765,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:8:115,1.1158337060257089,late_500ms,1.4408492452913564,0.1899700450734449,False,False
common,same_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:765,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:8:115,1.1158337060257089,late_1s,1.2609607791733208,0.4308567038537749,False,False
common,same_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:1445,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:765,1.440644671400202,late_500ms,-0.4750943738821959,1.4408492452913564,True,False
common,same_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:1445,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:765,1.440644671400202,late_1s,-0.5484583992980979,1.2609607791733208,True,False
common,same_flight,train:9.12数据/log_10_2026-9-12-06-13-40.ulg:0:315,train:9.12数据/log_10_2026-9-12-06-13-40.ulg:3:55,1.267862510136807,late_500ms,-1.0022948518233328,-0.3523128593638477,False,False
common,same_flight,train:9.12数据/log_10_2026-9-12-06-13-40.ulg:0:315,train:9.12数据/log_10_2026-9-12-06-13-40.ulg:3:55,1.267862510136807,late_1s,-0.7145262663641727,-0.1440926785301214,False,False
common,same_flight,train:9.12数据/log_12_2026-9-12-06-29-44.ulg:0:535,train:9.12数据/log_12_2026-9-12-06-29-44.ulg:4:255,1.5778224613955731,late_500ms,0.5419362454872083,0.7308831717068797,False,False
common,same_flight,train:9.12数据/log_12_2026-9-12-06-29-44.ulg:0:535,train:9.12数据/log_12_2026-9-12-06-29-44.ulg:4:255,1.5778224613955731,late_1s,0.8058844393826989,1.1936717789490554,False,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:0:505,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:485,0.7229787022435691,late_500ms,0.3461334441535152,-0.4202467933304156,True,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:0:505,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:485,0.7229787022435691,late_1s,0.1128847511224072,-0.388969075510188,True,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:695,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:0:505,0.9282673057258892,late_500ms,-0.5979629337681216,0.3461334441535152,True,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:695,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:0:505,0.9282673057258892,late_1s,-0.5314514450976382,0.1128847511224072,True,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:1965,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:0:505,1.4813425099897244,late_500ms,-0.6982535932430217,0.3461334441535152,True,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:1965,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:0:505,1.4813425099897244,late_1s,-0.7652854332505474,0.1128847511224072,True,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:2:65,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:0:505,1.4507671793604615,late_500ms,-0.4714251558130272,0.3461334441535152,True,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:2:65,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:0:505,1.4507671793604615,late_1s,-0.4558627359568895,0.1128847511224072,True,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:2:925,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:2:65,1.6232475645896416,late_500ms,-0.0601566290951755,-0.4714251558130272,False,False
common,same_flight,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:2:925,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:2:65,1.6232475645896416,late_1s,0.4621893213939432,-0.4558627359568895,True,False
common,same_flight,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:0:305,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:2:445,1.3597157071664745,late_500ms,0.8823735061111987,-0.2774925997065678,True,False
common,same_flight,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:0:305,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:2:445,1.3597157071664745,late_1s,0.8074962586015103,-0.671860456138651,True,False
common,same_flight,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:2:55,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:0:305,2.0437590038386637,late_500ms,-0.225592154021104,0.8823735061111987,True,False
common,same_flight,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:2:55,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:0:305,2.0437590038386637,late_1s,0.5163492856338137,0.8074962586015103,False,False
common,same_flight,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:2:1135,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:0:305,2.168588548152888,late_500ms,-0.5676363828934887,0.8823735061111987,True,False
common,same_flight,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:2:1135,train:9.13数据/log_2_2026-9-13-06-20-06.ulg:0:305,2.168588548152888,late_1s,-0.519916728201371,0.8074962586015103,True,False
common,same_flight,train:9.14数据/log_13_2026-9-14-18-28-32.ulg:3:185,train:9.14数据/log_13_2026-9-14-18-28-32.ulg:3:945,1.4926967305115866,late_500ms,0.4179878444595691,0.238043881922372,False,False
common,same_flight,train:9.14数据/log_13_2026-9-14-18-28-32.ulg:3:185,train:9.14数据/log_13_2026-9-14-18-28-32.ulg:3:945,1.4926967305115866,late_1s,0.6665237025308405,0.1691971183068139,False,False
common,same_flight,train:9.15数据/log_11_2026-9-15-17-51-56.ulg:0:145,train:9.15数据/log_11_2026-9-15-17-51-56.ulg:2:675,2.3650621255043625,late_500ms,0.8850652732226917,-0.504927892960357,True,False
common,same_flight,train:9.15数据/log_11_2026-9-15-17-51-56.ulg:0:145,train:9.15数据/log_11_2026-9-15-17-51-56.ulg:2:675,2.3650621255043625,late_1s,0.9564871394071832,-0.5989238799461455,True,False
common,same_flight,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:0:165,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:0:1145,1.462332020032925,late_500ms,0.9749596412694044,-0.4896084531893575,True,False
common,same_flight,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:0:165,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:0:1145,1.462332020032925,late_1s,0.9602637069009152,-0.3330744795691306,True,False
common,same_flight,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:2:555,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:0:165,2.2718595096574186,late_500ms,0.5847027954806372,0.9749596412694044,False,False
common,same_flight,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:2:555,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:0:165,2.2718595096574186,late_1s,-0.3281400336725358,0.9602637069009152,True,False
common,same_flight,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:2:625,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:0:165,2.2117099007359404,late_500ms,-0.1219050149978456,0.9749596412694044,True,False
common,same_flight,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:2:625,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:0:165,2.2117099007359404,late_1s,-0.8348523801368994,0.9602637069009152,True,False
common,same_flight,train:9.15数据/log_13_2026-9-15-18-10-58.ulg:2:405,train:9.15数据/log_13_2026-9-15-18-10-58.ulg:2:1615,1.0482043903421872,late_500ms,-0.2231564910586814,-0.6024349290200179,False,False
common,same_flight,train:9.15数据/log_13_2026-9-15-18-10-58.ulg:2:405,train:9.15数据/log_13_2026-9-15-18-10-58.ulg:2:1615,1.0482043903421872,late_1s,-0.4560655763834914,-0.6432119396427195,False,False
common,same_flight,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:0:615,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:2:505,1.2583946108546338,late_500ms,0.4048073902774027,-0.0640353299305229,True,False
common,same_flight,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:0:615,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:2:505,1.2583946108546338,late_1s,0.6415780637266105,-0.0749481165167794,True,False
common,same_flight,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:2:1255,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:0:615,1.5496670375902672,late_500ms,-0.9818678035244592,0.4048073902774027,True,False
common,same_flight,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:2:1255,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:0:615,1.5496670375902672,late_1s,-0.4478493270692911,0.6415780637266105,True,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:0:1875,0.8471738734174744,late_500ms,0.2556190431413864,0.274999098414172,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:0:1875,0.8471738734174744,late_1s,0.0473439816772678,0.2385757195845982,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:895,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,0.6950137863667131,late_500ms,0.0575114635135918,-0.1487084295621646,True,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:895,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,0.6950137863667131,late_1s,0.0728731630305554,0.1155477335618281,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,train:9.12数据/log_3_2026-9-12-18-40-02.ulg:2:105,0.8273199922089407,late_500ms,0.6126891998895915,0.9941577480488945,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,train:9.12数据/log_3_2026-9-12-18-40-02.ulg:2:105,0.8273199922089407,late_1s,0.7607647446446922,0.956865373082311,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1115,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,0.8345995703527763,late_500ms,0.3881819907330026,-0.1487084295621646,True,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1115,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,0.8345995703527763,late_1s,0.018179850047633,0.1155477335618281,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:6:75,1.144437157018959,late_500ms,0.3028268887434026,1.049558685119315,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:6:75,1.144437157018959,late_1s,0.922150361462776,0.8427019493567148,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:695,0.7181575701408446,late_500ms,0.3414007896446753,-0.5979629337681216,True,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:695,0.7181575701408446,late_1s,0.2553913644149231,-0.5314514450976382,True,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:885,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:2:505,0.7218958081085636,late_500ms,0.1213211143400874,-0.0640353299305229,True,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:885,train:9.15数据/log_14_2026-9-15-18-17-26.ulg:2:505,0.7218958081085636,late_1s,0.27126442675896,-0.0749481165167794,True,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1985,train:9.15数据/log_13_2026-9-15-18-10-58.ulg:2:405,1.0284469630066275,late_500ms,-0.7152719201360891,-0.2231564910586814,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1985,train:9.15数据/log_13_2026-9-15-18-10-58.ulg:2:405,1.0284469630066275,late_1s,-0.4098522677614263,-0.4560655763834914,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:4:1295,train:9.14数据/log_13_2026-9-14-18-28-32.ulg:3:185,1.11122920407657,late_500ms,0.6555353854892946,0.4179878444595691,False,False
common,cross_flight,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:4:1295,train:9.14数据/log_13_2026-9-14-18-28-32.ulg:3:185,1.11122920407657,late_1s,0.3102756530051185,0.6665237025308405,False,False
common,cross_flight,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1775,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:2:925,0.838803595518042,late_500ms,-0.1229357651896614,-0.0601566290951755,False,False
common,cross_flight,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1775,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:2:925,0.838803595518042,late_1s,-0.5937419159804548,0.4621893213939432,True,False
common,cross_flight,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1875,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:2:555,0.7612038143624339,late_500ms,-0.102253563056431,0.5847027954806372,True,False
common,cross_flight,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:6:1875,train:9.15数据/log_12_2026-9-15-18-03-58.ulg:2:555,0.7612038143624339,late_1s,0.2855660758257934,-0.3281400336725358,True,False
common,cross_flight,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:0:145,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,1.0258867083471224,late_500ms,-0.1532470134851002,-0.1487084295621646,False,False
common,cross_flight,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:0:145,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,1.0258867083471224,late_1s,0.2748748208987083,0.1155477335618281,False,False
common,cross_flight,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:0:1875,train:9.11数据/log_14_2026-9-11-18-34-58.ulg:4:1385,0.7329317531858097,late_500ms,0.274999098414172,-0.5674996135131181,True,False
common,cross_flight,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:0:1875,train:9.11数据/log_14_2026-9-11-18-34-58.ulg:4:1385,0.7329317531858097,late_1s,0.2385757195845982,-0.6540313456969373,True,False
common,cross_flight,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:6:75,train:9.12数据/log_3_2026-9-12-18-40-02.ulg:2:105,0.7985737836897954,late_500ms,1.049558685119315,0.9941577480488945,False,False
common,cross_flight,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:6:75,train:9.12数据/log_3_2026-9-12-18-40-02.ulg:2:105,0.7985737836897954,late_1s,0.8427019493567148,0.956865373082311,False,False
common,cross_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:765,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:0:1875,0.7838378823425577,late_500ms,1.4408492452913564,0.274999098414172,False,False
common,cross_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:765,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:0:1875,0.7838378823425577,late_1s,1.2609607791733208,0.2385757195845982,False,False
common,cross_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:1445,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,0.9582828401623588,late_500ms,-0.4750943738821959,-0.1487084295621646,False,False
common,cross_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:0:1445,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,0.9582828401623588,late_1s,-0.5484583992980979,0.1155477335618281,True,False
common,cross_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:8:115,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:695,0.9127034180384191,late_500ms,0.1899700450734449,-0.5979629337681216,True,False
common,cross_flight,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:8:115,train:9.13数据/log_1_2026-9-13-06-11-06.ulg:1:695,0.9127034180384191,late_1s,0.4308567038537749,-0.5314514450976382,True,False
