seed,mode,pattern,interval,axis,true_amplitude,pred_amplitude
17,ALL_original,ALL,early,p,0.8004581122269115,0.6371506554214703
17,ALL_original,ALL,early,q,0.7215625776398621,0.6888111010375327
17,ALL_original,ALL,early,r,0.13529606769243163,0.09419485878014516
17,ALL_original,ALL,late500,p,0.8607228190780543,0.7232487356080441
17,ALL_original,ALL,late500,q,0.7668881383157455,0.7314524640635978
17,ALL_original,ALL,late500,r,0.26924766882938944,0.23900877662613543
17,ALL_original,ALL,late1s,p,0.8575579258877188,0.7098045585500533
17,ALL_original,ALL,late1s,q,0.7453948691803356,0.7181782480816414
17,ALL_original,ALL,late1s,r,0.270764889646328,0.21737280912340107
17,ALL_original,lower_change,early,p,0.7840467895548265,0.6112175447515823
17,ALL_original,lower_change,early,q,0.7359092176765812,0.7112971493411382
17,ALL_original,lower_change,early,r,0.12593819546734322,0.08544544119105218
17,ALL_original,lower_change,late500,p,0.8238614794820914,0.6823976527305055
17,ALL_original,lower_change,late500,q,0.7682579181528582,0.7415667202905873
17,ALL_original,lower_change,late500,r,0.2405519739999877,0.21372925993801162
17,ALL_original,lower_change,late1s,p,0.8141676199238195,0.6648265851914985
17,ALL_original,lower_change,late1s,q,0.7561538715583964,0.7329167463146272
17,ALL_original,lower_change,late1s,r,0.2517520650443561,0.19877167419851954
17,ALL_original,sustained,early,p,0.8206278125436577,0.6617523728139392
17,ALL_original,sustained,early,q,0.7166558913891699,0.6755394882635477
17,ALL_original,sustained,early,r,0.14194352419603784,0.10085674440752217
17,ALL_original,sustained,late500,p,0.8922167306715287,0.7573520396552503
17,ALL_original,sustained,late500,q,0.7561235925969745,0.7220044205498793
17,ALL_original,sustained,late500,r,0.28142262621004477,0.2519261094282917
17,ALL_original,sustained,late1s,p,0.8916512021621437,0.742065069696214
17,ALL_original,sustained,late1s,q,0.730351990793891,0.7031993026710621
17,ALL_original,sustained,late1s,r,0.2800416694298103,0.22933330433329122
17,ALL_original,reversing,early,p,0.6891702549645546,0.5478919000924257
17,ALL_original,reversing,early,q,0.7047215488531015,0.6673137869135076
17,ALL_original,reversing,early,r,0.13571297857801892,0.0822417971097192
17,ALL_original,reversing,late500,p,0.8763130728166904,0.6494664563245975
17,ALL_original,reversing,late500,q,0.9292777094396318,0.7803351807030032
17,ALL_original,reversing,late500,r,0.3258318438681212,0.2880544139049428
17,ALL_original,reversing,late1s,p,0.8676469606072743,0.63925953326044
17,ALL_original,reversing,late1s,q,0.8040206446332918,0.8308964950421684
17,ALL_original,reversing,late1s,r,0.36086445889835483,0.2863051047775184
17,ALL_original,mixed_change,early,p,0.7896624493873149,0.6420157613586035
17,ALL_original,mixed_change,early,q,0.7069024540600425,0.6425083442021607
17,ALL_original,mixed_change,early,r,0.1461232902399405,0.10056555927495844
17,ALL_original,mixed_change,late500,p,0.8397180098309317,0.6904229142621351
17,ALL_original,mixed_change,late500,q,0.8089216655346657,0.7410682915207222
17,ALL_original,mixed_change,late500,r,0.3153340788710433,0.2744900678606579
17,ALL_original,mixed_change,late1s,p,0.8410196199515405,0.6856722460682521
17,ALL_original,mixed_change,late1s,q,0.7776284692251062,0.7134909033981853
17,ALL_original,mixed_change,late1s,r,0.2977872849004888,0.24014000405105063
17,ALL_original,multi_high,early,p,0.8341171326066794,0.6904357943083902
17,ALL_original,multi_high,early,q,0.7359990409969838,0.6799873397260655
17,ALL_original,multi_high,early,r,0.15549619308792414,0.10463702826922322
17,ALL_original,multi_high,late500,p,0.936173721346361,0.8077002219813118
17,ALL_original,multi_high,late500,q,0.8158150929630319,0.7555742892043649
17,ALL_original,multi_high,late500,r,0.32569381900592387,0.28403300813134175
17,ALL_original,multi_high,late1s,p,0.9556661893964113,0.7973878492617144
17,ALL_original,multi_high,late1s,q,0.7829855427447806,0.7349089021489147
17,ALL_original,multi_high,late1s,r,0.32495499813301076,0.26159234240656126
17,Stabilized,ALL,early,p,0.7969325507856525,0.6288938395778613
17,Stabilized,ALL,early,q,0.737046833923047,0.7011179607759279
17,Stabilized,ALL,early,r,0.13861281622054422,0.09219718504090503
17,Stabilized,ALL,late500,p,0.8627035378356329,0.7253775971468885
17,Stabilized,ALL,late500,q,0.8001205844583392,0.7521484044562604
17,Stabilized,ALL,late500,r,0.27700831128223097,0.2435303657952781
17,Stabilized,ALL,late1s,p,0.8447380862455783,0.701453032167329
17,Stabilized,ALL,late1s,q,0.7863461424654397,0.7477380288262188
17,Stabilized,ALL,late1s,r,0.28416592192439255,0.22933658650343447
17,Stabilized,lower_change,early,p,0.8347156401784009,0.6566242500024104
17,Stabilized,lower_change,early,q,0.778212352122561,0.7446390492148546
17,Stabilized,lower_change,early,r,0.13332721143280662,0.08361349258485859
17,Stabilized,lower_change,late500,p,0.8493136858624699,0.7233164286076693
17,Stabilized,lower_change,late500,q,0.7783617331915693,0.7475486145422909
17,Stabilized,lower_change,late500,r,0.2318051060180157,0.2073541738637103
17,Stabilized,lower_change,late1s,p,0.8454821620682786,0.7048351842566309
17,Stabilized,lower_change,late1s,q,0.790314854032096,0.7533902663496861
17,Stabilized,lower_change,late1s,r,0.2598131296681003,0.20213479309405277
17,Stabilized,sustained,early,p,0.7849561005339893,0.6198348005197665
17,Stabilized,sustained,early,q,0.7104188074565606,0.6710176679529932
17,Stabilized,sustained,early,r,0.1435718870511441,0.09835413301487904
17,Stabilized,sustained,late500,p,0.8745246279013811,0.7464330452387218
17,Stabilized,sustained,late500,q,0.7714055726871974,0.7327988254469859
17,Stabilized,sustained,late500,r,0.29852019330071966,0.26662232517289913
17,Stabilized,sustained,late1s,p,0.8557872304813673,0.7142924281601455
17,Stabilized,sustained,late1s,q,0.7609213265545601,0.7261193543133152
17,Stabilized,sustained,late1s,r,0.2997469880218714,0.24655529522005135
17,Stabilized,reversing,early,p,0.6549930718627603,0.4792851106082215
17,Stabilized,reversing,early,q,0.6599460438998695,0.623309002931327
17,Stabilized,reversing,early,r,0.1266489455390605,0.07870533674961128
17,Stabilized,reversing,late500,p,0.8558961295796047,0.6034620824967037
17,Stabilized,reversing,late500,q,0.9315852483498225,0.770117188575247
17,Stabilized,reversing,late500,r,0.30066855363049416,0.2668732895029399
17,Stabilized,reversing,late1s,p,0.859337460575945,0.6121913454047665
17,Stabilized,reversing,late1s,q,0.7979328028559589,0.8055487775070787
17,Stabilized,reversing,late1s,r,0.35563480744371695,0.2572152360724334
17,Stabilized,mixed_change,early,p,0.7544534417930545,0.6349318406668233
17,Stabilized,mixed_change,early,q,0.6975227793624459,0.6267350484883517
17,Stabilized,mixed_change,early,r,0.13930669634790163,0.09700012745577918
17,Stabilized,mixed_change,late500,p,0.8290848179978338,0.6611349843886876
17,Stabilized,mixed_change,late500,q,0.8388083890233903,0.7310567683655405
17,Stabilized,mixed_change,late500,r,0.32279782556902115,0.28964000096218223
17,Stabilized,mixed_change,late1s,p,0.8012696777914936,0.6342059610902991
17,Stabilized,mixed_change,late1s,q,0.8054958673844901,0.73204716919615
17,Stabilized,mixed_change,late1s,r,0.31715503657342575,0.25335129884558644
17,Stabilized,multi_high,early,p,0.8113468845839384,0.6640661240243488
17,Stabilized,multi_high,early,q,0.7184799603665513,0.6618172623194971
17,Stabilized,multi_high,early,r,0.15718018364769812,0.09985891501554792
17,Stabilized,multi_high,late500,p,0.9369901100518714,0.7953017758668097
17,Stabilized,multi_high,late500,q,0.860817665833138,0.7825666315178066
17,Stabilized,multi_high,late500,r,0.3468143531033683,0.30062838583159246
17,Stabilized,multi_high,late1s,p,0.9285049797067033,0.7689584569162747
17,Stabilized,multi_high,late1s,q,0.8233720679641677,0.7640053769609161
17,Stabilized,multi_high,late1s,r,0.34040128991766455,0.2779080776370814
17,Mission,ALL,early,p,0.7793236870583504,0.6308095860962226
17,Mission,ALL,early,q,0.7317704231301593,0.6949903929512478
17,Mission,ALL,early,r,0.13486970086751057,0.09718156408960921
17,Mission,ALL,late500,p,0.840428768203293,0.7071556492847568
17,Mission,ALL,late500,q,0.7735446460281165,0.7378548684318925
17,Mission,ALL,late500,r,0.2843972802342922,0.2518841013896787
17,Mission,ALL,late1s,p,0.8474950115024177,0.7001700822354553
17,Mission,ALL,late1s,q,0.7539050232961042,0.7240584664273233
17,Mission,ALL,late1s,r,0.27872511543938816,0.22202326888071558
17,Mission,lower_change,early,p,0.7315730464664282,0.5745843893138821
17,Mission,lower_change,early,q,0.7326957655496499,0.7079084306423247
17,Mission,lower_change,early,r,0.12292183907957194,0.08704133281501103
17,Mission,lower_change,late500,p,0.7896303687319076,0.6409158528289115
17,Mission,lower_change,late500,q,0.7924235023746475,0.7614083853917236
17,Mission,lower_change,late500,r,0.2613336082279983,0.23307701176427997
17,Mission,lower_change,late1s,p,0.7816582297974993,0.623744998302567
17,Mission,lower_change,late1s,q,0.7740851823235121,0.7482984290237717
17,Mission,lower_change,late1s,r,0.26212048817604355,0.2096923296880734
17,Mission,sustained,early,p,0.8074126761319239,0.6593561976665556
17,Mission,sustained,early,q,0.7326300298530243,0.6910492057531163
17,Mission,sustained,early,r,0.1382626207713305,0.10201221508658674
17,Mission,sustained,late500,p,0.867458708385656,0.7390245142983812
17,Mission,sustained,late500,q,0.7687322268862443,0.7296969248660944
17,Mission,sustained,late500,r,0.289788754917684,0.2574843538942619
17,Mission,sustained,late1s,p,0.8752419070168989,0.7346076552852948
17,Mission,sustained,late1s,q,0.7448458762674143,0.7141812178952563
17,Mission,sustained,late1s,r,0.2792579099766719,0.22681967899501246
17,Mission,reversing,early,p,0.752484232630942,0.6915633792946438
17,Mission,reversing,early,q,0.7714260040069908,0.6828412997783053
17,Mission,reversing,early,r,0.15901634218517394,0.08648367012492608
17,Mission,reversing,late500,p,0.9018525235816768,0.7242265779087442
17,Mission,reversing,late500,q,0.9682231865185698,0.8048306653475419
17,Mission,reversing,late500,r,0.3914397050796492,0.3579112043969438
17,Mission,reversing,late1s,p,0.8772354773765593,0.7164990979316469
17,Mission,reversing,late1s,q,0.8138710926289194,0.7981292636254853
17,Mission,reversing,late1s,r,0.44462784263891275,0.33409888625173045
17,Mission,mixed_change,early,p,0.7691833687360249,0.6105292251358911
17,Mission,mixed_change,early,q,0.7195027622367722,0.648702348693114
17,Mission,mixed_change,early,r,0.15125981760604687,0.09684598484497312
17,Mission,mixed_change,late500,p,0.7557334608721131,0.6355899657731006
17,Mission,mixed_change,late500,q,0.7391978618006053,0.7252680492071589
17,Mission,mixed_change,late500,r,0.31253265097517297,0.2612869727434225
17,Mission,mixed_change,late1s,p,0.8160464848307679,0.6489856565895922
17,Mission,mixed_change,late1s,q,0.7328327805981601,0.6934599453242235
17,Mission,mixed_change,late1s,r,0.28286285450089876,0.2248464966811471
17,Mission,multi_high,early,p,0.8275998521835272,0.6825774310715315
17,Mission,multi_high,early,q,0.7548791406738005,0.6995877066109643
17,Mission,multi_high,early,r,0.14959676006319936,0.10689620853636835
17,Mission,multi_high,late500,p,0.9107770219567075,0.7896373154631845
17,Mission,multi_high,late500,q,0.7619788600470399,0.7174458824527282
17,Mission,multi_high,late500,r,0.3031835448101907,0.25806464946242863
17,Mission,multi_high,late1s,p,0.9380462059947114,0.7888117299667474
17,Mission,multi_high,late1s,q,0.7392469125810144,0.7070329409498753
17,Mission,multi_high,late1s,r,0.3011535803591176,0.23434658695717078
17,Other_or_transition,ALL,early,p,0.7435024614832185,0.4068248195636757
17,Other_or_transition,ALL,early,q,0.6563394030906873,0.6435611766149487
17,Other_or_transition,ALL,early,r,0.07638406565064171,0.07234501283786218
17,Other_or_transition,ALL,late500,p,0.6709652312997433,0.43643934526852146
17,Other_or_transition,ALL,late500,q,0.6106098361080086,0.6226330759832477
17,Other_or_transition,ALL,late500,r,0.16887792272011692,0.11724165292317398
17,Other_or_transition,ALL,late1s,p,0.7344553063283932,0.5049219250547421
17,Other_or_transition,ALL,late1s,q,0.6540050975493423,0.6493161260747947
17,Other_or_transition,ALL,late1s,r,0.20375284066584748,0.1021012067783129
17,Other_or_transition,lower_change,early,p,0.9535184410720128,0.6556093568545599
17,Other_or_transition,lower_change,early,q,0.7356016149188012,0.7577671213588739
17,Other_or_transition,lower_change,early,r,0.0887650935542104,0.06882341342288491
17,Other_or_transition,lower_change,late500,p,0.6481901162061601,0.5429046394114879
17,Other_or_transition,lower_change,late500,q,0.8227206529352418,0.7390674370170378
17,Other_or_transition,lower_change,late500,r,0.33377160318412286,0.20344166351680693
17,Other_or_transition,lower_change,late1s,p,0.6947529165822394,0.5612381611392423
17,Other_or_transition,lower_change,late1s,q,0.6736529904471623,0.6881751324432737
17,Other_or_transition,lower_change,late1s,r,0.23735398977252864,0.1586758597465282
17,Other_or_transition,sustained,early,p,0.6946465844773617,0.3987975038840679
17,Other_or_transition,sustained,early,q,0.6990101519050563,0.6840824447636698
17,Other_or_transition,sustained,early,r,0.07852155600513758,0.06927355141873984
17,Other_or_transition,sustained,late500,p,0.7898123767259869,0.5240340185974922
17,Other_or_transition,sustained,late500,q,0.5383351130548104,0.5911979388940717
17,Other_or_transition,sustained,late500,r,0.07785612702958038,0.08559236807092319
17,Other_or_transition,sustained,late1s,p,0.8224954385546399,0.6065641684883064
17,Other_or_transition,sustained,late1s,q,0.6600866667060177,0.6455155160725486
17,Other_or_transition,sustained,late1s,r,0.2045846582939616,0.09686070320669435
17,Other_or_transition,multi_high,early,p,0.4729534764611415,0.20669436515868422
17,Other_or_transition,multi_high,early,q,0.7722078924628297,0.7884452990913297
17,Other_or_transition,multi_high,early,r,0.0720984360132422,0.04862608496624839
17,Other_or_transition,multi_high,late500,p,0.9603451163656568,0.5918990282886653
17,Other_or_transition,multi_high,late500,q,0.6331176664554294,0.7080702738250175
17,Other_or_transition,multi_high,late500,r,0.060827503747329835,0.09759594147655846
17,Other_or_transition,multi_high,late1s,p,0.9065431580667067,0.7319218138850613
17,Other_or_transition,multi_high,late1s,q,0.659197356320204,0.7005968936126825
17,Other_or_transition,multi_high,late1s,r,0.134286391490614,0.08017309591030564
23,ALL_original,ALL,early,p,0.8004581122269115,0.6453510031747114
23,ALL_original,ALL,early,q,0.7215625776398621,0.6838149083795607
23,ALL_original,ALL,early,r,0.13529606769243163,0.09447369166949574
23,ALL_original,ALL,late500,p,0.8607228190780543,0.7204142521530009
23,ALL_original,ALL,late500,q,0.7668881383157455,0.7222191975552849
23,ALL_original,ALL,late500,r,0.26924766882938944,0.23548775859071136
23,ALL_original,ALL,late1s,p,0.8575579258877188,0.7087659612385167
23,ALL_original,ALL,late1s,q,0.7453948691803356,0.7107534637041998
23,ALL_original,ALL,late1s,r,0.270764889646328,0.21401943333446935
23,ALL_original,lower_change,early,p,0.7840467895548265,0.6213472395234151
23,ALL_original,lower_change,early,q,0.7359092176765812,0.7060634061789194
23,ALL_original,lower_change,early,r,0.12593819546734322,0.0852925754370266
23,ALL_original,lower_change,late500,p,0.8238614794820914,0.6814382227667467
23,ALL_original,lower_change,late500,q,0.7682579181528582,0.7319006364414172
23,ALL_original,lower_change,late500,r,0.2405519739999877,0.21088065451375587
23,ALL_original,lower_change,late1s,p,0.8141676199238195,0.6623373682597161
23,ALL_original,lower_change,late1s,q,0.7561538715583964,0.7234415471180237
23,ALL_original,lower_change,late1s,r,0.2517520650443561,0.1971620108473877
23,ALL_original,sustained,early,p,0.8206278125436577,0.672522627626748
23,ALL_original,sustained,early,q,0.7166558913891699,0.6716949672450127
23,ALL_original,sustained,early,r,0.14194352419603784,0.10138577286654037
23,ALL_original,sustained,late500,p,0.8922167306715287,0.7526772430827989
23,ALL_original,sustained,late500,q,0.7561235925969745,0.7135275685114525
23,ALL_original,sustained,late500,r,0.28142262621004477,0.2477157691352818
23,ALL_original,sustained,late1s,p,0.8916512021621437,0.7419065586819997
23,ALL_original,sustained,late1s,q,0.730351990793891,0.6965821047054149
23,ALL_original,sustained,late1s,r,0.2800416694298103,0.2254548233606539
23,ALL_original,reversing,early,p,0.6891702549645546,0.5352226594579317
23,ALL_original,reversing,early,q,0.7047215488531015,0.6488380775443278
23,ALL_original,reversing,early,r,0.13571297857801892,0.09130348273557802
23,ALL_original,reversing,late500,p,0.8763130728166904,0.6258436586639425
23,ALL_original,reversing,late500,q,0.9292777094396318,0.7901851092870067
23,ALL_original,reversing,late500,r,0.3258318438681212,0.302643174194516
23,ALL_original,reversing,late1s,p,0.8676469606072743,0.6365580271829624
23,ALL_original,reversing,late1s,q,0.8040206446332918,0.8086601595967985
23,ALL_original,reversing,late1s,r,0.36086445889835483,0.27811910989773275
23,ALL_original,mixed_change,early,p,0.7896624493873149,0.6392888937129705
23,ALL_original,mixed_change,early,q,0.7069024540600425,0.6417212390679837
23,ALL_original,mixed_change,early,r,0.1461232902399405,0.10048668090349212
23,ALL_original,mixed_change,late500,p,0.8397180098309317,0.6924927839701497
23,ALL_original,mixed_change,late500,q,0.8089216655346657,0.7259925572086987
23,ALL_original,mixed_change,late500,r,0.3153340788710433,0.26533559727548023
23,ALL_original,mixed_change,late1s,p,0.8410196199515405,0.6913760602269707
23,ALL_original,mixed_change,late1s,q,0.7776284692251062,0.7101768395651026
23,ALL_original,mixed_change,late1s,r,0.2977872849004888,0.23664443205658023
23,ALL_original,multi_high,early,p,0.8341171326066794,0.6963038323795593
23,ALL_original,multi_high,early,q,0.7359990409969838,0.6756641286483219
23,ALL_original,multi_high,early,r,0.15549619308792414,0.10744942072582386
23,ALL_original,multi_high,late500,p,0.936173721346361,0.7979792464466828
23,ALL_original,multi_high,late500,q,0.8158150929630319,0.7441169967477648
23,ALL_original,multi_high,late500,r,0.32569381900592387,0.27547687989226666
23,ALL_original,multi_high,late1s,p,0.9556661893964113,0.7998899549525033
23,ALL_original,multi_high,late1s,q,0.7829855427447806,0.7264882020476647
23,ALL_original,multi_high,late1s,r,0.32495499813301076,0.2600206880372691
23,Stabilized,ALL,early,p,0.7969325507856525,0.6336222528613887
23,Stabilized,ALL,early,q,0.737046833923047,0.6942587068783315
23,Stabilized,ALL,early,r,0.13861281622054422,0.09142175039651673
23,Stabilized,ALL,late500,p,0.8627035378356329,0.7232575897150731
23,Stabilized,ALL,late500,q,0.8001205844583392,0.7433435405958541
23,Stabilized,ALL,late500,r,0.27700831128223097,0.23789296599720866
23,Stabilized,ALL,late1s,p,0.8447380862455783,0.6992547993054155
23,Stabilized,ALL,late1s,q,0.7863461424654397,0.7392970176919673
23,Stabilized,ALL,late1s,r,0.28416592192439255,0.22841511671941256
23,Stabilized,lower_change,early,p,0.8347156401784009,0.6665529189033758
23,Stabilized,lower_change,early,q,0.778212352122561,0.7324201905015256
23,Stabilized,lower_change,early,r,0.13332721143280662,0.08138273037870769
23,Stabilized,lower_change,late500,p,0.8493136858624699,0.7257025420489598
23,Stabilized,lower_change,late500,q,0.7783617331915693,0.7398739192639837
23,Stabilized,lower_change,late500,r,0.2318051060180157,0.20410737977297827
23,Stabilized,lower_change,late1s,p,0.8454821620682786,0.6989960858358156
23,Stabilized,lower_change,late1s,q,0.790314854032096,0.7438583626335576
23,Stabilized,lower_change,late1s,r,0.2598131296681003,0.2039387020393525
23,Stabilized,sustained,early,p,0.7849561005339893,0.6210146985673426
23,Stabilized,sustained,early,q,0.7104188074565606,0.669387791466681
23,Stabilized,sustained,early,r,0.1435718870511441,0.09844802484386005
23,Stabilized,sustained,late500,p,0.8745246279013811,0.7382978454644187
23,Stabilized,sustained,late500,q,0.7714055726871974,0.7248391482952519
23,Stabilized,sustained,late500,r,0.29852019330071966,0.25985613451392403
23,Stabilized,sustained,late1s,p,0.8557872304813673,0.7127773114259813
23,Stabilized,sustained,late1s,q,0.7609213265545601,0.7163963558312737
23,Stabilized,sustained,late1s,r,0.2997469880218714,0.24785488705206268
23,Stabilized,reversing,early,p,0.6549930718627603,0.46431426781715646
23,Stabilized,reversing,early,q,0.6599460438998695,0.6097686577491948
23,Stabilized,reversing,early,r,0.1266489455390605,0.08543557994690135
23,Stabilized,reversing,late500,p,0.8558961295796047,0.5823101180238394
23,Stabilized,reversing,late500,q,0.9315852483498225,0.785488747714142
23,Stabilized,reversing,late500,r,0.30066855363049416,0.2817231191481221
23,Stabilized,reversing,late1s,p,0.859337460575945,0.6100074262676686
23,Stabilized,reversing,late1s,q,0.7979328028559589,0.7853043959364843
23,Stabilized,reversing,late1s,r,0.35563480744371695,0.250746341008594
23,Stabilized,mixed_change,early,p,0.7544534417930545,0.6325723546152106
23,Stabilized,mixed_change,early,q,0.6975227793624459,0.6353929190961298
23,Stabilized,mixed_change,early,r,0.13930669634790163,0.09768162806368805
23,Stabilized,mixed_change,late500,p,0.8290848179978338,0.6731463465229552
23,Stabilized,mixed_change,late500,q,0.8388083890233903,0.7070750018106994
23,Stabilized,mixed_change,late500,r,0.32279782556902115,0.2721986259717013
23,Stabilized,mixed_change,late1s,p,0.8012696777914936,0.6464976197058574
23,Stabilized,mixed_change,late1s,q,0.8054958673844901,0.727785017059655
23,Stabilized,mixed_change,late1s,r,0.31715503657342575,0.24745530878210326
23,Stabilized,multi_high,early,p,0.8113468845839384,0.6632059388581567
23,Stabilized,multi_high,early,q,0.7184799603665513,0.6575862489753777
23,Stabilized,multi_high,early,r,0.15718018364769812,0.10174053811642735
23,Stabilized,multi_high,late500,p,0.9369901100518714,0.7827599457661829
23,Stabilized,multi_high,late500,q,0.860817665833138,0.7682828336263064
23,Stabilized,multi_high,late500,r,0.3468143531033683,0.2878803539436411
23,Stabilized,multi_high,late1s,p,0.9285049797067033,0.7709590934834829
23,Stabilized,multi_high,late1s,q,0.8233720679641677,0.7547231084946011
23,Stabilized,multi_high,late1s,r,0.34040128991766455,0.2771856893516751
23,Mission,ALL,early,p,0.7793236870583504,0.6416554125350613
23,Mission,ALL,early,q,0.7317704231301593,0.6881131370462329
23,Mission,ALL,early,r,0.13486970086751057,0.09916432025057259
23,Mission,ALL,late500,p,0.840428768203293,0.7055590060167719
23,Mission,ALL,late500,q,0.7735446460281165,0.7267583670259082
23,Mission,ALL,late500,r,0.2843972802342922,0.24913344599500373
23,Mission,ALL,late1s,p,0.8474950115024177,0.699794576102608
23,Mission,ALL,late1s,q,0.7539050232961042,0.714684389729349
23,Mission,ALL,late1s,r,0.27872511543938816,0.21649257931260127
23,Mission,lower_change,early,p,0.7315730464664282,0.5869382599233376
23,Mission,lower_change,early,q,0.7326957655496499,0.703148976337954
23,Mission,lower_change,early,r,0.12292183907957194,0.08902869142582531
23,Mission,lower_change,late500,p,0.7896303687319076,0.6388089288764419
23,Mission,lower_change,late500,q,0.7924235023746475,0.7486837187768236
