mode,pattern,n_origins,n_flights
ALL_original,ALL,2582,17
ALL_original,lower_change,1308,17
ALL_original,mixed_change,175,17
ALL_original,multi_high,491,17
ALL_original,reversing,34,13
ALL_original,sustained,1065,17
Mission,ALL,1125,12
Mission,lower_change,450,12
Mission,mixed_change,67,11
Mission,multi_high,228,12
Mission,reversing,11,4
Mission,sustained,597,12
Other_or_transition,ALL,12,2
Other_or_transition,lower_change,6,1
Other_or_transition,multi_high,2,2
Other_or_transition,sustained,6,2
Stabilized,ALL,1445,17
Stabilized,lower_change,852,17
Stabilized,mixed_change,108,17
Stabilized,multi_high,261,17
Stabilized,reversing,23,13
Stabilized,sustained,462,17
