window_id,log_id,segment_id,start_sample_in_segment,state_sample_count,history_start_timestamp_us,origin_timestamp_us,end_timestamp_us,history_span_s,cohort,mode,command_pattern,n_high_channels,drive_activity,drive_high,common_activity,common_high,differential_activity,differential_high,rudder_activity,rudder_high
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:25,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,25,51,106197864,106690619,107695792,0.492755,Sep7,Stabilized,reversing,2,0.11556931076172923,False,0.4779422520728605,True,0.4785084970789097,False,0.8116013216315942,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:75,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,75,51,107193204,107695792,108691191,0.5025879999999999,Sep7,Stabilized,sustained,1,0.11791949564079325,False,0.10935722072153836,False,0.4373623683201265,False,0.7124163337207357,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:125,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,125,51,108188568,108691191,109696718,0.5026229999999999,Sep7,Stabilized,lower_change,0,0.1199374713334218,False,0.0866504230687969,False,0.3202053917124113,False,0.22246995127412342,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:175,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,175,51,109193945,109696718,110691861,0.502773,Sep7,Stabilized,lower_change,0,0.02635127555877655,False,0.08409654664174852,False,0.1435526178663025,False,0.1668989013572659,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:225,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,225,51,110199126,110691861,111697324,0.492735,Sep7,Stabilized,sustained,1,0.0,False,0.05675686606097884,False,0.35958834364819137,False,0.22744333344527454,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:275,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,275,51,111194561,111697324,112692762,0.502763,Sep7,Stabilized,lower_change,0,0.0,False,0.11114332309193375,False,0.3222785989511354,False,0.175705245234203,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:325,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,325,51,112189878,112692762,113697933,0.502884,Sep7,Stabilized,sustained,1,0.010351636809765231,False,0.1024218701995226,False,0.4762544172274277,False,0.3344581842982586,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:375,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,375,51,113195388,113697933,114693304,0.502545,Sep7,Stabilized,lower_change,0,0.013888012592845273,False,0.11034177053159266,False,0.35314037772429746,False,0.14823779864256456,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:425,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,425,51,114190585,114693304,115688514,0.502719,Sep7,Stabilized,lower_change,0,0.009929533044665486,False,0.08775330833112974,False,0.352862526902471,False,0.14268374065523173,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:475,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,475,51,115195926,115688514,116693927,0.4925879999999999,Sep7,Stabilized,sustained,1,0.0020702039592373073,False,0.17365389380019808,False,0.29021879208089324,False,0.3287605523403343,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:525,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,525,51,116191139,116693927,117689180,0.502788,Sep7,Stabilized,sustained,1,0.0,False,0.1064368789257063,False,0.33476479432988704,False,0.3076435169945126,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:575,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,575,51,117196632,117689180,118694589,0.492548,Sep7,Stabilized,lower_change,0,0.0,False,0.05421330336067519,False,0.1853687808500197,False,0.076881114336509,False
