seed,mode,pattern,horizon,flight_id,cohort,n_origins,metric,value
17,ALL_original,ALL,100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,position_m,0.015249058942216545
17,ALL_original,ALL,100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,velocity_m_s,0.11923349609670053
17,ALL_original,ALL,100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,attitude_deg,1.3165172441700257
17,ALL_original,ALL,100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,body_rate_rad_s,0.5445551940421942
17,ALL_original,ALL,100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,p_rad_s,0.47703575723149405
17,ALL_original,ALL,100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,q_rad_s,0.20202250218275786
17,ALL_original,ALL,100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,r_rad_s,0.16782179325917151
17,ALL_original,ALL,100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,roll_deg,0.9807184763551176
17,ALL_original,ALL,100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,position_m,0.05958269534174362
17,ALL_original,ALL,100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,velocity_m_s,0.11732436847647199
17,ALL_original,ALL,100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,attitude_deg,1.401723855665228
17,ALL_original,ALL,100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,body_rate_rad_s,0.601019433297978
17,ALL_original,ALL,100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,p_rad_s,0.5361106402145756
17,ALL_original,ALL,100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,q_rad_s,0.22542187046258086
17,ALL_original,ALL,100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,r_rad_s,0.15164010342812234
17,ALL_original,ALL,100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,roll_deg,1.132177312737304
17,ALL_original,ALL,100ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,position_m,0.021796018823468658
