mode,pattern,horizon,cohort,metric,mean,std
ALL_original,ALL,100ms,ALL,attitude_deg,1.4073877652708784,0.02064625836209928
ALL_original,ALL,100ms,ALL,body_rate_rad_s,0.545328817446893,0.0026433547186965247
ALL_original,ALL,100ms,ALL,p_rad_s,0.4768284816407711,0.004043172246237004
ALL_original,ALL,100ms,ALL,position_m,0.03533975990047323,0.00015990873590763545
ALL_original,ALL,100ms,ALL,q_rad_s,0.22417155639852027,0.002371296648200181
ALL_original,ALL,100ms,ALL,r_rad_s,0.13540866448959998,0.0023268615001701674
ALL_original,ALL,100ms,ALL,roll_deg,1.0592107968095477,0.023798648654484927
ALL_original,ALL,100ms,ALL,velocity_m_s,0.14492896236407948,0.004558853008184936
ALL_original,ALL,100ms,Sep17,attitude_deg,1.4698279819084552,0.012525797846849263
ALL_original,ALL,100ms,Sep17,body_rate_rad_s,0.5273914212369101,0.0027367945889366454
ALL_original,ALL,100ms,Sep17,p_rad_s,0.4530964831449213,0.005828592478908009
ALL_original,ALL,100ms,Sep17,position_m,0.01878042327859422,0.00028830242078524
ALL_original,ALL,100ms,Sep17,q_rad_s,0.23162816631762484,0.0032750626587431343
ALL_original,ALL,100ms,Sep17,r_rad_s,0.13356649139687926,0.0052093784280307165
ALL_original,ALL,100ms,Sep17,roll_deg,1.0856494822212304,0.024682952801491805
ALL_original,ALL,100ms,Sep17,velocity_m_s,0.15328337006033146,0.004828245157538848
ALL_original,ALL,100ms,Sep7,attitude_deg,1.3518853504819213,0.028822407939506266
ALL_original,ALL,100ms,Sep7,body_rate_rad_s,0.5612731696335446,0.0029278176189402203
ALL_original,ALL,100ms,Sep7,p_rad_s,0.49792359141485987,0.003701859813848061
ALL_original,ALL,100ms,Sep7,position_m,0.050059170231032346,8.744334916525886e-05
ALL_original,ALL,100ms,Sep7,q_rad_s,0.21754345869264954,0.0016523852745901457
ALL_original,ALL,100ms,Sep7,r_rad_s,0.13704615168312953,0.0023384959841390605
ALL_original,ALL,100ms,Sep7,roll_deg,1.0357097431102742,0.033618298932524174
ALL_original,ALL,100ms,Sep7,velocity_m_s,0.13750282218963325,0.004517645063215637
ALL_original,ALL,1s,ALL,attitude_deg,6.692491015924361,0.13211263225775574
ALL_original,ALL,1s,ALL,body_rate_rad_s,0.6210730627049943,0.010836732534806002
ALL_original,ALL,1s,ALL,p_rad_s,0.5157297036533426,0.002395548949280718
ALL_original,ALL,1s,ALL,position_m,0.474013589738189,0.006345199092699647
ALL_original,ALL,1s,ALL,q_rad_s,0.298948394993374,0.026296797692333597
ALL_original,ALL,1s,ALL,r_rad_s,0.16588490961925803,0.00259844975589751
ALL_original,ALL,1s,ALL,roll_deg,5.019577527671561,0.30707140094827384
ALL_original,ALL,1s,ALL,velocity_m_s,0.6477484181435841,0.0070160720728467295
ALL_original,ALL,1s,Sep17,attitude_deg,7.565419632078857,0.35081668607431754
ALL_original,ALL,1s,Sep17,body_rate_rad_s,0.617365130607673,0.016078501370692114
ALL_original,ALL,1s,Sep17,p_rad_s,0.49713627190200566,0.001910405024689875
ALL_original,ALL,1s,Sep17,position_m,0.3681691488196273,0.014146390467115686
ALL_original,ALL,1s,Sep17,q_rad_s,0.31248811725708514,0.03687131815085873
ALL_original,ALL,1s,Sep17,r_rad_s,0.18509564294781133,0.006805128930005054
ALL_original,ALL,1s,Sep17,roll_deg,5.887953135233385,0.5395502770643911
ALL_original,ALL,1s,Sep17,velocity_m_s,0.6881681494601164,0.011886375648105647
ALL_original,ALL,1s,Sep7,attitude_deg,5.9165544682314755,0.06500476713780902
ALL_original,ALL,1s,Sep7,body_rate_rad_s,0.6243690023470578,0.007323327960054344
ALL_original,ALL,1s,Sep7,p_rad_s,0.5322571985434198,0.004237846766299019
ALL_original,ALL,1s,Sep7,position_m,0.5680975372213551,0.003495787999885392
ALL_original,ALL,1s,Sep7,q_rad_s,0.2869130863145196,0.02157683825794245
ALL_original,ALL,1s,Sep7,r_rad_s,0.14880870221609954,0.002074304830981853
ALL_original,ALL,1s,Sep7,roll_deg,4.247688098727714,0.10258056196875942
ALL_original,ALL,1s,Sep7,velocity_m_s,0.6118197680844443,0.0035172979400426084
ALL_original,ALL,200ms,ALL,attitude_deg,2.196485009819066,0.038513408516639334
ALL_original,ALL,200ms,ALL,body_rate_rad_s,0.5662829067172569,0.002845070392982552
ALL_original,ALL,200ms,ALL,p_rad_s,0.49948113180389014,0.0009135545351173382
ALL_original,ALL,200ms,ALL,position_m,0.07037587473612035,0.0004976476671810978
ALL_original,ALL,200ms,ALL,q_rad_s,0.22084057214700303,0.007325709001397272
ALL_original,ALL,200ms,ALL,r_rad_s,0.1444989766728577,0.0011656327126167469
ALL_original,ALL,200ms,ALL,roll_deg,1.5089961249720911,0.04368273769397716
ALL_original,ALL,200ms,ALL,velocity_m_s,0.19543232868331303,0.003772095483271508
ALL_original,ALL,200ms,Sep17,attitude_deg,2.376163835792054,0.05667804461582944
ALL_original,ALL,200ms,Sep17,body_rate_rad_s,0.5370344702811893,0.0007091605500893418
ALL_original,ALL,200ms,Sep17,p_rad_s,0.45990229689964773,0.004944455936026385
ALL_original,ALL,200ms,Sep17,position_m,0.0403758876117629,0.0008328714661951241
ALL_original,ALL,200ms,Sep17,q_rad_s,0.23125679243869215,0.011687556548111584
ALL_original,ALL,200ms,Sep17,r_rad_s,0.15101662964634696,0.0019768878556293296
ALL_original,ALL,200ms,Sep17,roll_deg,1.6630632835041574,0.07689316032340253
ALL_original,ALL,200ms,Sep17,velocity_m_s,0.22052783181036187,0.0008974636379996783
ALL_original,ALL,200ms,Sep7,attitude_deg,2.0367704978430776,0.022973567441240322
ALL_original,ALL,200ms,Sep7,body_rate_rad_s,0.5922815168826502,0.005015444449187461
ALL_original,ALL,200ms,Sep7,p_rad_s,0.5346623183854392,0.004346570660453883
ALL_original,ALL,200ms,Sep7,position_m,0.09704252995777145,0.00028348760185255447
ALL_original,ALL,200ms,Sep7,q_rad_s,0.21158170966550158,0.004663844316161941
ALL_original,ALL,200ms,Sep7,r_rad_s,0.13870550736308948,0.003062847137780311
ALL_original,ALL,200ms,Sep7,roll_deg,1.3720475396102543,0.028074407421949676
ALL_original,ALL,200ms,Sep7,velocity_m_s,0.17312521479260293,0.006327707911003984
ALL_original,ALL,500ms,ALL,attitude_deg,4.078397323464926,0.04607174281450127
ALL_original,ALL,500ms,ALL,body_rate_rad_s,0.5965765681119547,0.002814065097141482
ALL_original,ALL,500ms,ALL,p_rad_s,0.5209094689846674,0.0034138782082701507
ALL_original,ALL,500ms,ALL,position_m,0.19239547622942155,0.0018568135301971977
ALL_original,ALL,500ms,ALL,q_rad_s,0.2446992944535096,0.010339493153647445
ALL_original,ALL,500ms,ALL,r_rad_s,0.15102117617616093,0.0024155674175266985
ALL_original,ALL,500ms,ALL,roll_deg,2.861273118395644,0.10541963738723711
ALL_original,ALL,500ms,ALL,velocity_m_s,0.3572876015314526,0.007164943745699934
ALL_original,ALL,500ms,Sep17,attitude_deg,4.56950906185081,0.10540376893244405
ALL_original,ALL,500ms,Sep17,body_rate_rad_s,0.5609187370666632,0.004592958152190309
ALL_original,ALL,500ms,Sep17,p_rad_s,0.476841696533202,0.005201410480078379
ALL_original,ALL,500ms,Sep17,position_m,0.12928485762202166,0.004018237993935144
ALL_original,ALL,500ms,Sep17,q_rad_s,0.24461481031287102,0.01586990519051688
ALL_original,ALL,500ms,Sep17,r_rad_s,0.1636381266991206,0.002942743103848939
ALL_original,ALL,500ms,Sep17,roll_deg,3.2942504829940487,0.21185747637188343
ALL_original,ALL,500ms,Sep17,velocity_m_s,0.3736101737272393,0.014307360556249926
ALL_original,ALL,500ms,Sep7,attitude_deg,3.641853556010805,0.0566626039371381
ALL_original,ALL,500ms,Sep7,body_rate_rad_s,0.6282724179299916,0.0025899913786430234
ALL_original,ALL,500ms,Sep7,p_rad_s,0.5600808222748589,0.003928848811334897
ALL_original,ALL,500ms,Sep7,position_m,0.2484938038804437,0.0008251530470098953
ALL_original,ALL,500ms,Sep7,q_rad_s,0.24477439146741056,0.010381835825629683
ALL_original,ALL,500ms,Sep7,r_rad_s,0.13980610904464127,0.0029059235096868465
ALL_original,ALL,500ms,Sep7,roll_deg,2.476404349863729,0.02332860528926079
ALL_original,ALL,500ms,Sep7,velocity_m_s,0.3427786484685311,0.0009654691087388667
ALL_original,ALL,interval_0_500ms,ALL,attitude_deg,2.720764101536181,0.029621182555089727
ALL_original,ALL,interval_0_500ms,ALL,body_rate_rad_s,0.566536976734411,0.0006607508530826285
ALL_original,ALL,interval_0_500ms,ALL,p_rad_s,0.5007768805535951,0.003081808197859397
ALL_original,ALL,interval_0_500ms,ALL,position_m,0.11040512402556497,0.0009087276950485385
ALL_original,ALL,interval_0_500ms,ALL,q_rad_s,0.22430169920485846,0.006932567972414552
ALL_original,ALL,interval_0_500ms,ALL,r_rad_s,0.13833478326558266,0.0011296555500376856
ALL_original,ALL,interval_0_500ms,ALL,roll_deg,1.883802430552833,0.05218966861584633
ALL_original,ALL,interval_0_500ms,ALL,velocity_m_s,0.23936994372152023,0.0043425164973425745
ALL_original,ALL,interval_0_500ms,Sep17,attitude_deg,3.008982860778756,0.050056888230732774
ALL_original,ALL,interval_0_500ms,Sep17,body_rate_rad_s,0.5440815749211052,0.001399816587222369
ALL_original,ALL,interval_0_500ms,Sep17,p_rad_s,0.47031031463535783,0.005181455815008272
ALL_original,ALL,interval_0_500ms,Sep17,position_m,0.0703964956666917,0.0018683543404534844
ALL_original,ALL,interval_0_500ms,Sep17,q_rad_s,0.23113338557238594,0.010595137912688318
ALL_original,ALL,interval_0_500ms,Sep17,r_rad_s,0.14537128932495658,0.0005693498988747562
ALL_original,ALL,interval_0_500ms,Sep17,roll_deg,2.1255657493850437,0.10891636565064094
ALL_original,ALL,interval_0_500ms,Sep17,velocity_m_s,0.2637952776070986,0.006061002564974392
ALL_original,ALL,interval_0_500ms,Sep7,attitude_deg,2.464569648876115,0.02856929183374732
ALL_original,ALL,interval_0_500ms,Sep7,body_rate_rad_s,0.5864973339017939,0.00020188530601481959
ALL_original,ALL,interval_0_500ms,Sep7,p_rad_s,0.5278582724809172,0.00243743284168898
ALL_original,ALL,interval_0_500ms,Sep7,position_m,0.14596834923345234,0.0004610135526184048
ALL_original,ALL,interval_0_500ms,Sep7,q_rad_s,0.2182290891003896,0.004739692960757278
ALL_original,ALL,interval_0_500ms,Sep7,r_rad_s,0.1320801112128058,0.002310543334611906
ALL_original,ALL,interval_0_500ms,Sep7,roll_deg,1.668901702701979,0.019369289908521298
ALL_original,ALL,interval_0_500ms,Sep7,velocity_m_s,0.21765853582322836,0.002974040256108499
ALL_original,ALL,interval_500_1000ms,ALL,attitude_deg,5.479808427480632,0.06918469255766278
ALL_original,ALL,interval_500_1000ms,ALL,body_rate_rad_s,0.6023055712837705,0.00531383797939508
ALL_original,ALL,interval_500_1000ms,ALL,p_rad_s,0.5134674340632994,0.0035988542740516827
ALL_original,ALL,interval_500_1000ms,ALL,position_m,0.3392184284074591,0.004455699843949996
ALL_original,ALL,interval_500_1000ms,ALL,q_rad_s,0.267382427190547,0.019116006601986462
ALL_original,ALL,interval_500_1000ms,ALL,r_rad_s,0.16173408422237845,0.002553878939367387
ALL_original,ALL,interval_500_1000ms,ALL,roll_deg,4.037511183158068,0.21679093090563187
ALL_original,ALL,interval_500_1000ms,ALL,velocity_m_s,0.5096481883315485,0.00782443759190696
ALL_original,ALL,interval_500_1000ms,Sep17,attitude_deg,6.17309791728531,0.20150576299090095
ALL_original,ALL,interval_500_1000ms,Sep17,body_rate_rad_s,0.5900745457994347,0.0081147671719353
ALL_original,ALL,interval_500_1000ms,Sep17,p_rad_s,0.4878421545205156,0.0054549682653368715
ALL_original,ALL,interval_500_1000ms,Sep17,position_m,0.25104541386385465,0.01000143202575195
ALL_original,ALL,interval_500_1000ms,Sep17,q_rad_s,0.2794094099422288,0.027827104705346585
ALL_original,ALL,interval_500_1000ms,Sep17,r_rad_s,0.17722384786113987,0.005139348716345915
ALL_original,ALL,interval_500_1000ms,Sep17,roll_deg,4.669038724343307,0.39141175943824824
ALL_original,ALL,interval_500_1000ms,Sep17,velocity_m_s,0.5400192963872924,0.014974155294516458
ALL_original,ALL,interval_500_1000ms,Sep7,attitude_deg,4.863551103209807,0.04906047350767092
ALL_original,ALL,interval_500_1000ms,Sep7,body_rate_rad_s,0.6131775939365135,0.003135166927004726
ALL_original,ALL,interval_500_1000ms,Sep7,p_rad_s,0.5362454603235517,0.0036725053717550087
ALL_original,ALL,interval_500_1000ms,Sep7,position_m,0.41759444133510754,0.002295759912162456
ALL_original,ALL,interval_500_1000ms,Sep7,q_rad_s,0.25669177585571873,0.014437092210916115
ALL_original,ALL,interval_500_1000ms,Sep7,r_rad_s,0.14796540543236827,0.0012769664197707414
ALL_original,ALL,interval_500_1000ms,Sep7,roll_deg,3.476153368771189,0.06268501138985733
ALL_original,ALL,interval_500_1000ms,Sep7,velocity_m_s,0.48265164783755393,0.001521038558392811
ALL_original,lower_change,100ms,ALL,attitude_deg,1.307920654801378,0.021888549410354466
ALL_original,lower_change,100ms,ALL,body_rate_rad_s,0.5185216076367846,0.0017857708792706414
ALL_original,lower_change,100ms,ALL,p_rad_s,0.4633738337931657,0.0034111232059244904
ALL_original,lower_change,100ms,ALL,position_m,0.03446536307465612,0.00014306871288255788
ALL_original,lower_change,100ms,ALL,q_rad_s,0.1925978010532948,0.0023983482678142662
ALL_original,lower_change,100ms,ALL,r_rad_s,0.12700576017861007,0.0019534545941854446
ALL_original,lower_change,100ms,ALL,roll_deg,0.962329045107967,0.02164717934732686
ALL_original,lower_change,100ms,ALL,velocity_m_s,0.11708820286583242,0.0025410780103081137
ALL_original,lower_change,100ms,Sep17,attitude_deg,1.3128295777928136,0.01462914119129296
ALL_original,lower_change,100ms,Sep17,body_rate_rad_s,0.48460657021695197,0.003252219436748383
ALL_original,lower_change,100ms,Sep17,p_rad_s,0.4323928814535462,0.003382982592545096
ALL_original,lower_change,100ms,Sep17,position_m,0.018498960048277703,0.00028307937053849745
ALL_original,lower_change,100ms,Sep17,q_rad_s,0.1798140099970719,0.005598162791116514
ALL_original,lower_change,100ms,Sep17,r_rad_s,0.12071150481594149,0.005127033488704678
ALL_original,lower_change,100ms,Sep17,roll_deg,0.9105523583106369,0.009322298014537635
ALL_original,lower_change,100ms,Sep17,velocity_m_s,0.12598840317369464,0.002761814215126404
ALL_original,lower_change,100ms,Sep7,attitude_deg,1.3035571676978797,0.029782176228739705
ALL_original,lower_change,100ms,Sep7,body_rate_rad_s,0.5486683075655248,0.004288332735350819
ALL_original,lower_change,100ms,Sep7,p_rad_s,0.49091245809504974,0.0051157672606157965
ALL_original,lower_change,100ms,Sep7,position_m,0.04865772132032583,0.00010231915183080254
ALL_original,lower_change,100ms,Sep7,q_rad_s,0.2039611708810485,0.0020894176760721376
ALL_original,lower_change,100ms,Sep7,r_rad_s,0.13260065383431544,0.002948553728141101
ALL_original,lower_change,100ms,Sep7,roll_deg,1.0083527667055938,0.03575926427683134
ALL_original,lower_change,100ms,Sep7,velocity_m_s,0.10917691370328823,0.004073497976099087
ALL_original,lower_change,1s,ALL,attitude_deg,6.032522527327629,0.153378678553297
ALL_original,lower_change,1s,ALL,body_rate_rad_s,0.6030666732771356,0.013595456373682657
ALL_original,lower_change,1s,ALL,p_rad_s,0.5017294896741991,0.002509282716418006
ALL_original,lower_change,1s,ALL,position_m,0.446639022142876,0.010195304187045635
ALL_original,lower_change,1s,ALL,q_rad_s,0.2906216411302729,0.02946695561882992
ALL_original,lower_change,1s,ALL,r_rad_s,0.1564543524829167,0.0026255717312674426
ALL_original,lower_change,1s,ALL,roll_deg,4.575514077249874,0.3674812355105287
ALL_original,lower_change,1s,ALL,velocity_m_s,0.5754169778583506,0.015543880416879374
ALL_original,lower_change,1s,Sep17,attitude_deg,6.553333310637007,0.41543475866805896
ALL_original,lower_change,1s,Sep17,body_rate_rad_s,0.5980483595501177,0.021411586284994254
ALL_original,lower_change,1s,Sep17,p_rad_s,0.4827600886539385,0.0004137484399280981
ALL_original,lower_change,1s,Sep17,position_m,0.3241994320443914,0.02020502138841467
ALL_original,lower_change,1s,Sep17,q_rad_s,0.3062549825087045,0.042367066992415284
ALL_original,lower_change,1s,Sep17,r_rad_s,0.1666880165581479,0.007396538423147524
ALL_original,lower_change,1s,Sep17,roll_deg,5.178786620894169,0.6866649764694658
ALL_original,lower_change,1s,Sep17,velocity_m_s,0.5979439426460939,0.02695428326720192
ALL_original,lower_change,1s,Sep7,attitude_deg,5.569579608830403,0.07965132533170724
ALL_original,lower_change,1s,Sep7,body_rate_rad_s,0.6075273965900404,0.007563346650538766
ALL_original,lower_change,1s,Sep7,p_rad_s,0.5185911794699862,0.004761417489490128
ALL_original,lower_change,1s,Sep7,position_m,0.555474213341529,0.0037446299001282282
ALL_original,lower_change,1s,Sep7,q_rad_s,0.2767253376827781,0.02258973787680135
ALL_original,lower_change,1s,Sep7,r_rad_s,0.14735776219382224,0.0019058450261476099
ALL_original,lower_change,1s,Sep7,roll_deg,4.039271816232723,0.08416125908272266
ALL_original,lower_change,1s,Sep7,velocity_m_s,0.5553930091581343,0.005401327536731441
ALL_original,lower_change,200ms,ALL,attitude_deg,1.9228206056290122,0.023618040031983527
ALL_original,lower_change,200ms,ALL,body_rate_rad_s,0.5526758432140344,0.004013314419840538
ALL_original,lower_change,200ms,ALL,p_rad_s,0.4941238881606136,0.0015626643174470392
ALL_original,lower_change,200ms,ALL,position_m,0.06779430464876311,0.0003573890470410925
ALL_original,lower_change,200ms,ALL,q_rad_s,0.205028891832447,0.006450593005535547
ALL_original,lower_change,200ms,ALL,r_rad_s,0.13386711732494128,0.001634987188117602
ALL_original,lower_change,200ms,ALL,roll_deg,1.2990951113001084,0.056595285785170604
ALL_original,lower_change,200ms,ALL,velocity_m_s,0.15814561181644285,0.0015259430986251474
