split,method,history_steps,cycle_bin,n,duration_mean_s,cycles_median,offset_abs_error_p50,offset_abs_error_p75,offset_abs_error_p90,offset_abs_error_p95
train,E1,12,all,12318,0.24000264823835035,0.8544977905613532,0.13962634015954656,0.2617993877991494,0.41887902047863884,0.6108652381980146
train,E1,12,less_than_one_cycle,11898,0.2399371719616742,0.850330562697527,0.15707963267948966,0.2617993877991496,0.418879020478639,0.6108652381980155
train,E1,12,one_or_more_cycles,420,0.24185749761904696,1.0301541621092565,0.08726646259971638,0.17453292519943298,0.3682644721708042,0.4721115626644658
train,E1,25,all,12318,0.5000009465822373,1.782060976334694,0.13962634015954656,0.2617993877991494,0.3839724354387525,0.5061454830783556
train,E1,25,less_than_one_cycle,41,0.49901002439024295,0.8973121983176028,2.5481807079117216,2.775073510670984,2.827433388230814,2.8274333882308142
train,E1,25,one_or_more_cycles,12277,0.5000042558442616,1.7824313965893042,0.13962634015954656,0.2617993877991494,0.3839724354387525,0.4886921905584123
train,E1,50,all,12168,0.9999955253122943,3.5623470222829567,0.13962634015954656,0.2617993877991494,0.3665191429188092,0.45378560551852565
train,E1,50,one_or_more_cycles,12168,0.9999955253122943,3.5623470222829567,0.13962634015954656,0.2617993877991494,0.3665191429188092,0.45378560551852565
train,E2,12,all,12318,0.24000264823835035,0.8544977905613532,0.12217304763960257,0.20943951023931984,0.3141592653589793,0.4014257279586957
train,E2,12,less_than_one_cycle,11898,0.2399371719616742,0.850330562697527,0.122173047639603,0.20943951023931984,0.3141592653589793,0.4014257279586957
train,E2,12,one_or_more_cycles,420,0.24185749761904696,1.0301541621092565,0.06981317007977372,0.13962634015954623,0.29670597283903666,0.3839724354387526
train,E2,25,all,12318,0.5000009465822373,1.782060976334694,0.10471975511965992,0.20943951023931984,0.2967059728390362,0.3490658503988664
train,E2,25,less_than_one_cycle,41,0.49901002439024295,0.8973121983176028,0.5410520681182422,0.6108652381980146,2.4783675378319483,2.670353755551324
train,E2,25,one_or_more_cycles,12277,0.5000042558442616,1.7824313965893042,0.10471975511965977,0.2094395102393195,0.2967059728390362,0.3490658503988659
train,E2,50,all,12168,0.9999955253122943,3.5623470222829567,0.10471975511965977,0.2094395102393194,0.2967059728390361,0.34906585039886545
train,E2,50,one_or_more_cycles,12168,0.9999955253122943,3.5623470222829567,0.10471975511965977,0.2094395102393194,0.2967059728390361,0.34906585039886545
validation,E1,12,all,40085,0.24000000109766745,0.888329507144517,,,,
validation,E1,12,less_than_one_cycle,35698,0.2397866664799148,0.872833593162049,,,,
validation,E1,12,one_or_more_cycles,4387,0.24173595258718947,1.0299535178047101,,,,
validation,E1,25,all,40085,0.4999976645628041,1.8515147740647366,,,,
validation,E1,25,one_or_more_cycles,40085,0.4999976645628041,1.8515147740647366,,,,
validation,E1,50,all,39585,0.9999903199191615,3.6973806392474775,,,,
validation,E1,50,one_or_more_cycles,39585,0.9999903199191615,3.6973806392474775,,,,
validation,E2,12,all,40085,0.24000000109766745,0.888329507144517,,,,
validation,E2,12,less_than_one_cycle,35698,0.2397866664799148,0.872833593162049,,,,
validation,E2,12,one_or_more_cycles,4387,0.24173595258718947,1.0299535178047101,,,,
validation,E2,25,all,40085,0.4999976645628041,1.8515147740647366,,,,
validation,E2,25,one_or_more_cycles,40085,0.4999976645628041,1.8515147740647366,,,,
validation,E2,50,all,39585,0.9999903199191615,3.6973806392474775,,,,
validation,E2,50,one_or_more_cycles,39585,0.9999903199191615,3.6973806392474775,,,,
