model,horizon_s,signal,n_total,n_full_cycle_fit,n_lag_supported,all_full_cycle_median_abs_lag_deg,median_abs_lag_deg,p90_abs_lag_deg,median_shape_correlation
S0,0.2,az_n,722,0,0,,,,
S0,0.2,q_dot,722,0,0,,,,
S0,0.5,az_n,722,722,567,63.25,52.49999999999999,157.70000000000002,0.4334353880539775
S0,0.5,q_dot,722,722,501,49.75000000000001,41.499999999999986,143.0,0.22739189335243734
S0,1.0,az_n,722,722,606,73.75000000000001,64.75000000000001,155.74999999999997,0.271851811019732
S0,1.0,q_dot,722,722,317,57.5,43.49999999999999,142.70000000000002,0.19568140027797393
S0,2.0,az_n,722,722,636,78.5,73.75,157.50000000000003,0.1860769516951005
S0,2.0,q_dot,722,722,109,73.25,43.999999999999986,147.89999999999998,0.1672650603458508
S0,3.0,az_n,722,722,627,80.00000000000001,77.5,157.39999999999995,0.1587335276944711
S0,3.0,q_dot,722,722,36,75.75,35.999999999999986,134.0,0.15091613675186105
S0,5.0,az_n,722,722,561,80.25000000000001,79.49999999999999,161.0,0.1572700160248875
S0,5.0,q_dot,722,722,2,81.0,22.999999999999993,35.0,0.11330204858248874
S1,0.2,az_n,722,0,0,,,,
S1,0.2,q_dot,722,0,0,,,,
S1,0.5,az_n,722,722,720,7.4999999999999885,7.4999999999999885,18.99999999999999,0.9731300082892197
S1,0.5,q_dot,722,722,717,15.500000000000004,15.500000000000004,31.000000000000007,0.5849117950666304
S1,1.0,az_n,722,722,721,13.000000000000004,13.000000000000004,30.50000000000001,0.9599043219629197
S1,1.0,q_dot,722,722,712,18.0,17.500000000000004,36.44999999999998,0.5287461627589661
S1,2.0,az_n,722,722,720,20.499999999999996,20.25,51.55000000000001,0.924500647265863
S1,2.0,q_dot,722,722,705,25.499999999999993,24.999999999999993,57.30000000000001,0.43236284986459084
S1,3.0,az_n,722,722,716,26.999999999999996,26.500000000000007,62.49999999999999,0.8775552566038797
S1,3.0,q_dot,722,722,699,29.999999999999993,29.499999999999996,78.5,0.39573222971394856
S1,5.0,az_n,722,722,717,39.500000000000014,39.500000000000014,99.19999999999999,0.754387361163526
S1,5.0,q_dot,722,722,688,38.0,36.999999999999986,119.50000000000003,0.3226909013261625
