log_id,window_id,horizon_s,linear,angular,frequency,linear_body
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:25:5s,0.2,0.77901345,4.013521,0.1041796,0.7790135
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:75:5s,0.2,1.0623441,7.8472114,0.12565339,1.0623441
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:125:5s,0.2,0.7873965,5.8445897,0.07046571,0.78739643
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:175:5s,0.2,0.70081604,4.770963,0.071055785,0.70081604
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:225:5s,0.2,0.7271858,5.7288404,0.11291124,0.7271858
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:275:5s,0.2,1.1578784,8.914717,0.22690545,1.1578784
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:325:5s,0.2,0.74592495,7.097794,0.13466154,0.7459249
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:375:5s,0.2,0.79783857,7.2863193,0.21973018,0.7978385
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:25:5s,0.2,0.8611178,5.9826474,0.11790877,0.86111784
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:75:5s,0.2,1.8745276,12.584374,0.07652937,1.8745276
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:125:5s,0.2,0.78807163,6.7756157,0.15597644,0.78807163
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:175:5s,0.2,1.3122877,9.409496,0.076106295,1.3122877
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:225:5s,0.2,1.2533877,10.66532,0.06231193,1.2533877
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:275:5s,0.2,1.0072478,12.479764,0.24580556,1.0072477
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:325:5s,0.2,0.65586174,3.659885,0.100012705,0.65586174
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:375:5s,0.2,1.3111401,7.134482,0.12387868,1.3111401
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:425:5s,0.2,1.1305257,8.7494955,0.066430226,1.130526
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:475:5s,0.2,0.81146073,6.4543347,0.14360246,0.8114606
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:525:5s,0.2,1.8448814,12.556065,0.2158185,1.8448814
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:575:5s,0.2,1.0470153,4.361197,0.1615191,1.0470153
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:625:5s,0.2,1.1812037,6.07275,0.09595408,1.1812037
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:675:5s,0.2,1.494034,13.034466,0.1166828,1.494034
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:725:5s,0.2,0.3666435,10.482947,0.18993615,0.36664343
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:775:5s,0.2,0.5352518,5.015606,0.055667914,0.53525174
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:825:5s,0.2,1.1407553,8.023144,0.19857927,1.1407553
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:875:5s,0.2,1.2921674,8.255594,0.1009649,1.2921673
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:925:5s,0.2,1.0672797,7.6211953,0.07980275,1.0672797
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:975:5s,0.2,0.4189315,3.5446308,0.023954712,0.41893148
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1025:5s,0.2,0.8477829,12.196128,0.14342423,0.84778285
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1075:5s,0.2,1.0244212,10.931092,0.13488345,1.0244212
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1125:5s,0.2,1.09626,4.867474,0.12136244,1.09626
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1175:5s,0.2,0.9726774,6.4508634,0.15964638,0.97267747
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1225:5s,0.2,1.0110765,5.696576,0.06468065,1.0110765
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1275:5s,0.2,1.1213465,7.7461557,0.11443116,1.1213464
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1325:5s,0.2,1.2627921,12.187477,0.05157343,1.2627921
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1375:5s,0.2,1.4173112,7.052765,0.040938392,1.4173112
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1425:5s,0.2,0.5184129,2.9641144,0.10321241,0.5184129
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1475:5s,0.2,1.3846909,9.017138,0.15643445,1.3846908
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1525:5s,0.2,0.58683866,2.246688,0.06913859,0.58683866
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1575:5s,0.2,1.2496763,5.531526,0.046433136,1.2496763
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1625:5s,0.2,1.0525005,10.776905,0.23700286,1.0525005
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1675:5s,0.2,0.70442057,6.929501,0.10766977,0.7044205
