experiment,partition,window_id,log_id,step,actual_duration_s,dt_s,epsilon,epsilon_control,epsilon_max_matrix_difference,singular_epsilon_difference,radius_epsilon_difference,largest_singular,spectral_radius,dynamic_largest_singular,dynamic_spectral_radius,rigid_largest_singular,rigid_spectral_radius
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:0:0,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.009857999999999999,0.001,0.002,0.0002128738,9.285926162450053e-06,6.518390042908884e-05,1.078317066581101,1.0019987573544298,1.0783143768703056,1.00199875735443,1.0203106631771273,1.0019605343066162
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:0:890,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019715999999999997,0.001,0.002,0.0019073486,3.0446595415289934e-05,0.0,1.1620168792658583,1.0004042387008667,1.1620071080342427,0.9985728059362423,1.0401678069101385,0.9960162925496842
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:90,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.029573,0.001,0.002,0.0019073486,4.940146790977096e-06,0.0009441214870266057,1.249305405237838,0.9994601172138401,1.2492906063384008,0.9994601172138405,1.0568471133340334,0.9968005997836568
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:990,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.029571999999999998,0.001,0.002,0.007629335,5.430173144604922e-05,0.00667572021484375,1.2479765710791877,1.0070799589157104,1.2479679611947778,0.9920239749201103,1.0633446982116712,0.9926583917469061
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:1880,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019715,0.001,0.002,0.0019073486,5.410685674833715e-05,2.106060101114693e-05,1.163097280258287,1.0009459983225435,1.1630729172964303,1.000945998322543,1.0367395597282505,0.9992504250357976
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:2770,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,7.432856212319372e-05,0.0009536147117614746,1.1661817119770004,0.9994506239891052,1.1661793402257568,0.9992804500841954,1.0375814864053918,0.9995960742138482
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:3670,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,2.7356795514021925e-05,0.00048441020343403807,1.1597883431912588,0.9999198284974327,1.1597822468692107,0.9999198284974316,1.0366934287017002,0.9978766589980885
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:230,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,1.0622950907590578e-05,1.0312922144706249e-05,1.159679417202827,1.0013561622563065,1.1596748793159184,1.0013561622563059,1.0389647970988687,1.001509474326436
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:1120,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.009856,0.001,0.002,0.0076293936,3.6753814541601315e-05,0.0059206260765027885,1.0790966763127217,1.0070799589157104,1.0790956390630935,1.0011384405963981,1.0198550239108533,1.0008793439941879
R2,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:2020,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.02957,0.001,0.002,0.0009536147,2.3787097310545846e-05,0.0004023313522338867,1.2455898411231763,1.0000019073486328,1.2455711800178364,0.9985121451823472,1.0602348045323886,0.9997162948752866
