experiment,partition,horizon_s,signal,source,temporal_std_median,rms_median,mean_vector_norm_median,temporal_delta_norm_mean,norm_at_horizon_median
A1_longer_rollout,validation,0.2,velocity_n,pred,0.1176392063498497,6.866201400756836,6.864553451538086,0.039815325289964676,6.829970359802246
A1_longer_rollout,validation,0.2,velocity_n,truth,0.4389345208143617,6.934426468027348,6.91917696550859,0.1918366034883966,6.938929447711466
A1_longer_rollout,validation,0.2,angular_velocity_b,pred,0.2638355493545532,0.4223833978176117,0.30065691471099854,0.09168008714914322,0.2379436194896698
A1_longer_rollout,validation,0.2,angular_velocity_b,truth,0.659665026439992,0.755908157146965,0.33952384056247853,0.531706536006208,0.7115457891137846
A1_longer_rollout,validation,0.2,acceleration_n,pred,0.6261075685526485,1.928103447068863,1.821603831120194,0.21980058299879426,1.6398688681331197
A1_longer_rollout,validation,0.2,acceleration_n,truth,9.96475624164907,10.617951116064466,3.6099667981457575,5.600303329170351,8.952411117558238
A1_longer_rollout,validation,0.2,angular_acceleration_b,pred,3.255543266890043,5.013588235209513,3.697937857136367,1.3062348687761116,1.3863767039135846
A1_longer_rollout,validation,0.2,angular_acceleration_b,truth,28.42363754783537,29.057123241621007,5.039673075659401,34.07702852435046,23.849822810991395
A1_longer_rollout,validation,0.2,gru_hidden,pred,0.7513851523399353,2.161299705505371,2.007308006286621,0.3379049003124237,1.9718499183654785
A1_longer_rollout,validation,0.5,velocity_n,pred,0.24958659708499908,6.820778846740723,6.8091020584106445,0.03726454824209213,6.778397560119629
A1_longer_rollout,validation,0.5,velocity_n,truth,0.513298987370617,6.935421575325303,6.900072517157298,0.19172106039809675,6.95256712230821
A1_longer_rollout,validation,0.5,angular_velocity_b,pred,0.21359625458717346,0.33224183320999146,0.23010632395744324,0.04898696765303612,0.20163196325302124
A1_longer_rollout,validation,0.5,angular_velocity_b,truth,0.6846214851260939,0.7540437767849566,0.27515593009899847,0.5293376671031235,0.7173525164253336
A1_longer_rollout,validation,0.5,acceleration_n,pred,0.6549774479250431,1.7702289241095022,1.636319371742113,0.22826583955372734,1.450429565357302
A1_longer_rollout,validation,0.5,acceleration_n,truth,10.415585628683782,10.628014401321991,1.982324744579522,5.612778706196865,8.91905447916999
A1_longer_rollout,validation,0.5,angular_acceleration_b,pred,2.9903714836765185,3.2953345518145856,1.3651497730976212,0.748996427399546,0.7200496021359815
A1_longer_rollout,validation,0.5,angular_acceleration_b,truth,29.18972547028538,29.2813041236734,1.7911383314270761,33.910664556567134,24.515869695887694
A1_longer_rollout,validation,0.5,gru_hidden,pred,0.8016782999038696,2.049060821533203,1.8691619634628296,0.30252423882484436,1.9127843379974365
A1_longer_rollout,validation,1.0,velocity_n,pred,0.42184075713157654,6.788651466369629,6.766238212585449,0.03478652983903885,6.722451210021973
