model,seed,cohort,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_flights,n_windows
B0_ConstantVelocity,17,ALL,0.1,0.058722783295178646,0.8195987397919952,4.155411089250727,1.212082975284379,0.8195987397919952,1.212082975284379,0.20364480073654367,0.20910753571647667,0.7649701237559894,0.9018375315355107,0.7833090705840413,0.16585717616062054,17,2582
B0_ConstantVelocity,17,ALL,0.2,0.13779058814463876,0.7479734503416502,9.313316961745171,1.200467509799214,0.7479734503416502,1.200467509799214,0.3124660667788353,0.3303192926717602,0.5920927198993228,0.8517537101341736,0.8137518852359737,0.20243644322778853,17,2582
B0_ConstantVelocity,17,ALL,0.5,0.4181816092546648,1.1707067979353143,23.245481059554063,1.0659885312498953,1.1707067979353143,1.0659885312498953,0.6924850227443646,0.7470722515211364,0.5710890838028315,0.7836942482833558,0.6596289115285432,0.2751930939353534,17,2582
B0_ConstantVelocity,17,ALL,1.0,1.2249344364497345,2.0732770344906917,46.777865760983524,1.1261874322008494,2.0732770344906917,1.1261874322008494,1.2992633477578923,1.4065534535067723,0.7845013992167695,0.813710333316382,0.7237593366774518,0.2587336421921631,17,2582
B0_ConstantVelocity,17,Sep17,0.1,0.047274067807821715,0.8067076148364726,4.05467774485247,1.2504248829273474,0.8067076148364726,1.2504248829273474,0.2054295627294711,0.20350198482722606,0.7526621918133947,0.8707575942622384,0.874872160663638,0.18447550619990202,8,1101
B0_ConstantVelocity,17,Sep17,0.2,0.11871169241720037,0.7733349040575177,9.340594593903747,1.1662035963548818,0.7733349040575177,1.1662035963548818,0.3361881028070563,0.3569036687007195,0.596707190947491,0.7664260947664127,0.8425831066714616,0.2386105504366224,8,1101
B0_ConstantVelocity,17,Sep17,0.5,0.3985087296604876,1.2779718554009682,23.418254663962948,1.0920719259656493,1.2779718554009682,1.0920719259656493,0.7288504906158709,0.7999547530215947,0.6770603131955546,0.741584577478083,0.7261403959634098,0.334953067349061,8,1101
B0_ConstantVelocity,17,Sep17,1.0,1.2448788206422368,2.217575926792956,47.33592032582724,1.1321268505552033,2.217575926792956,1.1321268505552033,1.3475845184209994,1.5107731392721704,0.89932161393155,0.7459594012578581,0.7950275605935335,0.2957704672807367,8,1101
B0_ConstantVelocity,17,Sep7,0.1,0.06889941928394036,0.8310575175302374,4.244951839826953,1.17800127960174,0.8310575175302374,1.17800127960174,0.2020583456317193,0.21409024761803278,0.7759105077049625,0.929464142445086,0.7019196571799552,0.14930754945903704,9,1481
B0_ConstantVelocity,17,Sep7,0.2,0.15474960656902845,0.7254299359275459,9.289070177604211,1.2309243217497314,0.7254299359275459,1.2309243217497314,0.2913798125315277,0.30668873620157405,0.5879909678565066,0.9276004793499611,0.7881241328488734,0.17028168126438065,9,1481
B0_ConstantVelocity,17,Sep7,0.5,0.43566861333837786,1.0753600801880663,23.091904522301718,1.042803291502559,1.0753600801880663,1.042803291502559,0.6601601624141369,0.7000655835207291,0.47689243545374427,0.8211250667769315,0.6005075920308839,0.22207311756761328,9,1481
B0_ConstantVelocity,17,Sep7,1.0,1.2072060949452885,1.9450113524442354,46.28181725890022,1.1209079492192016,1.9450113524442354,1.1209079492192016,1.2563111960573528,1.3139137328264183,0.6824389861369647,0.8739333840350699,0.6604098043076013,0.22581201989120872,9,1481
B1_MLP,17,ALL,0.1,0.04942650752548237,0.5299782493177935,2.0460491856315084,0.7219538010116056,0.5299782493177935,0.7219538010116056,0.139023633958329,0.13329880593993515,0.4925185749147159,0.5445182326934268,0.44457584775272396,0.1580949427839109,17,2582
B1_MLP,17,ALL,0.2,0.09838244041735272,0.42485369447539845,3.185866233921591,0.7563661806025008,0.42485369447539845,0.7563661806025008,0.15545401296661865,0.15425183616324825,0.3628360239650785,0.5538041709432293,0.47771252210006415,0.18173794057236262,17,2582
B1_MLP,17,ALL,0.5,0.24278606574158637,0.5420459436945458,5.530870832739522,0.7509235861975274,0.5420459436945458,0.7509235861975274,0.2570624398068214,0.25038937828703683,0.40430285772118374,0.5571556871650547,0.4624554853350552,0.18750677779808908,17,2582
B1_MLP,17,ALL,1.0,0.5752096847255267,0.874542843469641,8.703677463896511,0.7636555826534349,0.874542843469641,0.7636555826534349,0.5026189452035547,0.5124403305646672,0.49608354338546123,0.5570949037538595,0.47281475392601585,0.2107256167043039,17,2582
B1_MLP,17,Sep17,0.1,0.03694110351910789,0.5472132383050141,2.2713203931529864,0.7397711425445723,0.5472132383050141,0.7397711425445723,0.14535541595947518,0.13226320560343843,0.5101608664016583,0.5394016825697463,0.47649562896875824,0.16751549140901054,8,1101
B1_MLP,17,Sep17,0.2,0.07494357110942403,0.4417294794088886,3.7100798684309444,0.7662786864393424,0.4417294794088886,0.7662786864393424,0.16682485978310005,0.16396353282054232,0.3732586772903722,0.5245947958890956,0.51854296376762,0.20212780390792456,8,1101
B1_MLP,17,Sep17,0.5,0.19274546831616296,0.5809398185301731,6.606292605697362,0.7477941884966248,0.5809398185301731,0.7477941884966248,0.26670946089022163,0.2579904181779688,0.4448267828804653,0.5170797276810062,0.4964995700409527,0.21109402178391035,8,1101
B1_MLP,17,Sep17,1.0,0.5045075281172922,0.9736318222984153,10.25783136376355,0.7752202479075042,0.9736318222984153,0.7752202479075042,0.563305633331516,0.5800824766737426,0.539195457924032,0.5253883137651613,0.5115965136933538,0.24830817072300904,8,1101
