model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows,history_steps
B2_StandardGRU,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.03893000214731568,0.5371310232924444,2.322916522093286,0.6862073377652194,0.5371310232924444,0.6862073377652194,0.13560644280084433,0.1283361237881631,0.5036372386799046,0.5252652243859112,0.4121235336410148,0.15852806525310126,130,1
B2_StandardGRU,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.07664323795010569,0.3806300843613441,3.2730164198366265,0.745235479016256,0.3806300843613441,0.745235479016256,0.1450613050935233,0.11232454357254068,0.3334961406024185,0.5438389300490447,0.4751408838620706,0.18400075497255228,130,1
B2_StandardGRU,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.1735559782326252,0.46003877039812946,5.571632312105678,0.6397078076731707,0.46003877039812946,0.6397078076731707,0.20495237308142314,0.19871613623103523,0.3607521202143166,0.5427975220060529,0.29147555319092855,0.17215960964798008,130,1
B2_StandardGRU,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,0.43129703403699804,0.8000450200189121,8.699834019203333,0.6509183405984136,0.8000450200189121,0.6509183405984136,0.4281058271234872,0.5130033251861408,0.44002843452206475,0.5391606811169966,0.30124143337916093,0.20555788693338264,130,1
B2_StandardGRU,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.034739720638561476,0.4977066202530418,2.2224278905246027,0.6438844130843796,0.4977066202530418,0.6438844130843796,0.12491237941871562,0.11050203856816512,0.4689329128819389,0.5233388220314054,0.33956334735171284,0.15937486597044448,145,1
B2_StandardGRU,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.0675918227060013,0.3376290710648542,2.928917507222875,0.688142089925008,0.3376290710648542,0.688142089925008,0.12007148190082685,0.11885517602226472,0.2923177654453664,0.5123634679009587,0.4147440254981652,0.19751102754134636,145,1
B2_StandardGRU,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.14766686397659695,0.3820848116639143,5.152844533738577,0.6146957411048886,0.3820848116639143,0.6146957411048886,0.1587790788345752,0.20537783073641946,0.28035326655970194,0.5160976020773136,0.28710533471682514,0.1704835653066737,145,1
B2_StandardGRU,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,0.3712365228281468,0.6892759908517697,7.324038078451181,0.6305888586997536,0.6892759908517697,0.6305888586997536,0.3494883336713065,0.4452987691240616,0.3932789117267009,0.5159476508523165,0.3078585114328557,0.1914770671244472,145,1
B2_StandardGRU,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.034864668681269716,0.4926101672279114,1.8952513274806537,0.6138007468568103,0.4926101672279114,0.6138007468568103,0.13076291918105867,0.11631127252708703,0.4604753236674995,0.4508461389239317,0.3865622829782325,0.15510872714975737,144,1
B2_StandardGRU,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.06423591534779241,0.3337361845252519,2.83507574212269,0.6631602075258782,0.3337361845252519,0.6631602075258782,0.13178724111591283,0.11706941813230076,0.28338439491032985,0.4806246809488927,0.41931288868844907,0.18154359886343915,144,1
B2_StandardGRU,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.5,0.13528518774869286,0.4124029265949655,4.962472304037671,0.6222593120525167,0.4124029265949655,0.6222593120525167,0.2228326893601894,0.18050751681565744,0.2963761171039985,0.5180226947798271,0.2993633101293458,0.17099926221337491,144,1
B2_StandardGRU,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,1.0,0.36692819535932664,0.6982760341214616,7.145622372620293,0.5710416656309368,0.6982760341214616,0.5710416656309368,0.43101094694167774,0.39509298998814874,0.3817335624582405,0.4579594459430724,0.287830941591015,0.18307123974261616,144,1
