history_steps,seed,checkpoint_path,sha256,status,final_epoch,best_epoch,final_train_loss,final_val_loss,training_time_s,checkpoint_sha256
1,17,artifacts/paper_history_length_ablation_v1/H1/seed17/model.pt,60cd56efa894716297df992f2e41e56bbfdcba3de75913b42955c5902b89bad9,complete,65,,0.5474519003742898,0.5712201154389001,1791.2386535005644,
1,23,artifacts/paper_history_length_ablation_v1/H1/seed23/model.pt,b553932c90375126cb294777fc0516efdddd6847f97c33bc3f15bde8effb9346,complete,65,,0.5449776446073957,0.5589975108479825,1792.4086022982374,
1,42,artifacts/paper_history_length_ablation_v1/H1/seed42/model.pt,3d2daa36cda770f01eb8c61fe49ccd950be44f6082567018e83926ecb370daf0,complete,65,,0.5484833503727594,0.565816877748872,1649.146170079708,
5,17,artifacts/paper_history_length_ablation_v1/H5/seed17/model.pt,c80b540cf053530837edfe7f89102d867035255ed848d6118d9eee5112c2ccc8,complete,65,,0.3802587662004225,0.42821326535584664,1659.1588675072417,
5,23,artifacts/paper_history_length_ablation_v1/H5/seed23/model.pt,bc5dffb44a77478c416306c3aae8bff07ea85055ccd8f1ae5b76595408f04038,complete,65,,0.3824700884410669,0.4260091369323819,1648.4635189566761,
5,42,artifacts/paper_history_length_ablation_v1/H5/seed42/model.pt,2f9daae4538b3d5d47cf368607b25ae2b31dd12509f14b71cf4c37ed5dfe6b83,complete,65,,0.3854265881023751,0.41957193864675385,1626.9105196744204,
13,17,artifacts/paper_history_length_ablation_v1/H13/seed17/model.pt,1f685777f019c3f86eef07f4e304cc19ca79959d26f9aa1cb94f555735103c6e,complete,65,,0.3490178639405151,0.396035914269646,1673.3768177013844,
13,23,artifacts/paper_history_length_ablation_v1/H13/seed23/model.pt,33dd843386802c31982a3092d43a6f5a3beec34ad6ea38c26b7ac0bb434dc285,complete,65,,0.3508009580011876,0.38597773162086835,1662.297812892124,
13,42,artifacts/paper_history_length_ablation_v1/H13/seed42/model.pt,ed7b81e19e28ec30ef7751767a7add74a984b7f30b2fe7e0b47b0ad5bf07fe93,complete,65,,0.3499223432190171,0.3854365840981304,1627.3656454579905,
26,17,artifacts/paper_baseline_comparison_v1/B2_StandardGRU.pt,f9895418b7dd2a2757dde8d740109ab42dae258c593fd5902f0076a3faeb0e26,reused,65,,0.3428593127113112,0.3757452846127457,1816.394104583189,f9895418b7dd2a2757dde8d740109ab42dae258c593fd5902f0076a3faeb0e26
26,23,artifacts/paper_standard_gru_multiseed_v1/seed23/model.pt,1cfbb865db55e3fc7c248eff4de95892fa9ee9155ee8e81c0318a9021b7d8b03,reused,65,,0.342157386901948,0.3844394000069657,5353.385570913553,1cfbb865db55e3fc7c248eff4de95892fa9ee9155ee8e81c0318a9021b7d8b03
26,42,artifacts/paper_standard_gru_multiseed_v1/seed42/model.pt,98fd6266bdc8926055c7f8b0dc2f37a4333fa92f55f336fb4cba4d3480324f86,reused,65,,0.3417657966583096,0.3785180780750942,5334.5454798825085,98fd6266bdc8926055c7f8b0dc2f37a4333fa92f55f336fb4cba4d3480324f86
