seed,tau_s,interval,group,flight_id,cohort,n_origins,axis,component,error_mse,rmse,true_amplitude,pred_amplitude,cross_term
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,p,raw,0.28601901381070693,0.534807454894476,0.7580514249478367,0.6076786909545694,0.08124897355539852
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,p,slow,0.05855185414949099,0.24197490396628116,0.5625738836834256,0.5234351038606206,0.08124897355539852
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,p,fast,0.14621818610581747,0.38238486647070313,0.39124488204305674,0.2117884087484219,0.08124897355539852
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,q,raw,0.05836181161715698,0.2415818942246231,0.7483339717347757,0.7225414096245782,0.014013152479242744
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,q,slow,0.023763040879371117,0.15415265446748272,0.5987128470642017,0.5805683975768917,0.014013152479242744
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,q,fast,0.020585618258543117,0.14347689102619668,0.3425072482509572,0.33087733821090565,0.014013152479242744
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,r,raw,0.024999226817845773,0.1581114379728607,0.21719245621885655,0.20139057371952634,0.004475714675830534
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,r,slow,0.014800901681070521,0.12165895643589304,0.18912913412470383,0.18097878008981982,0.004475714675830534
17,0.05,0_500ms,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,r,fast,0.005722610460944723,0.07564793758553318,0.06518808691146154,0.047834609229254796,0.004475714675830534
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,p,raw,0.2898188059453196,0.5383482199704199,0.8468093785740551,0.6952343231234863,0.0810113533659744
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,p,slow,0.06154229404127711,0.24807719371453135,0.6355101355979096,0.598587490455821,0.0810113533659744
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,p,fast,0.1472651585380681,0.3837514280599723,0.426366672901247,0.24159214616667146,0.0810113533659744
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,q,raw,0.04955281994325666,0.22260462695832864,0.6604721232310842,0.6480330516965567,0.011521888801837944
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,q,slow,0.0188115855878039,0.1371553337927618,0.5068206861407752,0.5038511558720254,0.011521888801837944
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,q,fast,0.019219345553614813,0.13863385428391872,0.31930288199958623,0.3070254708565674,0.011521888801837944
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,r,raw,0.020693665212167485,0.14385292910527572,0.19504038585782832,0.17871268973541435,0.0036606411760609302
