tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,0_500ms,ALL,ALL,p,fast,17,0.35759748210880543,0.40304503909326145,0.23711323944797535,0.12871071644979226,0.07102892574209321
0.05,0_500ms,ALL,ALL,p,fast,23,0.3544257777535516,0.40304503909326145,0.235992116457546,0.12665214589456678,0.06965765760677392
0.05,0_500ms,ALL,ALL,p,fast,42,0.3570733945342993,0.40304503909326145,0.2429036746892083,0.12859625879472616,0.07104393136654417
0.05,0_500ms,ALL,ALL,p,raw,17,0.5022227305909771,0.8369252833214784,0.6950265429113132,0.2534152975413967,0.07102892574209321
0.05,0_500ms,ALL,ALL,p,raw,23,0.49723798678144737,0.8369252833214784,0.6951872137128017,0.24872861898780674,0.06965765760677392
0.05,0_500ms,ALL,ALL,p,raw,42,0.5028699242883611,0.8369252833214784,0.7036561620927048,0.2544273962407065,0.07104393136654417
0.05,0_500ms,ALL,ALL,p,slow,17,0.23118371297354168,0.6462739142656244,0.602609173198177,0.05367565534951123,0.07102892574209321
0.05,0_500ms,ALL,ALL,p,slow,23,0.2283721738617209,0.6462739142656244,0.6037987058171855,0.05241881548646604,0.06965765760677392
0.05,0_500ms,ALL,ALL,p,slow,42,0.23346996987665586,0.6462739142656244,0.6085506592694414,0.05478720607943613,0.07104393136654417
0.05,0_500ms,ALL,ALL,q,fast,17,0.13451335253397678,0.34423884077072886,0.31807951909267085,0.01814264738901648,0.011192680430021659
0.05,0_500ms,ALL,ALL,q,fast,23,0.140094947306065,0.34423884077072886,0.3125858796630218,0.019673242098290827,0.012122099458518137
0.05,0_500ms,ALL,ALL,q,fast,42,0.12996482645882618,0.34423884077072886,0.31747290234645925,0.0169187461106497,0.010564583712696531
0.05,0_500ms,ALL,ALL,q,raw,17,0.22235036602254743,0.7344042189487587,0.6991795307608807,0.04956555848252327,0.011192680430021659
0.05,0_500ms,ALL,ALL,q,raw,23,0.2320008115495586,0.7344042189487587,0.693432099173762,0.05405230464410574,0.012122099458518137
0.05,0_500ms,ALL,ALL,q,raw,42,0.21855392004246937,0.7344042189487587,0.7012908450952268,0.04790137551753913,0.010564583712696531
0.05,0_500ms,ALL,ALL,q,slow,17,0.14176856932897075,0.5749569260652404,0.5552494459842873,0.020230230663485126,0.011192680430021659
0.05,0_500ms,ALL,ALL,q,slow,23,0.1484277116911762,0.5749569260652404,0.5535383038328986,0.02225696308729677,0.012122099458518137
0.05,0_500ms,ALL,ALL,q,slow,42,0.14234678886988728,0.5749569260652404,0.5588300422967698,0.020418045694192907,0.010564583712696531
